serving_size_raw_mintel,serving_size_raw_walmart,serving_size_raw_exact_match,name_mintel,name_walmart,name_exact_match,calories_mintel,calories_walmart,calories_exact_match,saturatedfat_mintel,saturatedfat_walmart,saturatedfat_exact_match,sodium_mintel,sodium_walmart,sodium_exact_match,upc_code,total_match_count
30 g,nan,False,Swedish Style Ginger Snaps,Mi-Del Gluten Free Ginger Snap Cookies,False,140.0,,False,0.0,,False,0.105,,False,3068457199.0,0
243 g,nan,False,Cheesy Chicken & Broccoli,Marie Callenders Cheesy Chicken,False,220.0,,False,6.0,,False,0.95,,False,3100000916.0,0
237 g,23 g,False,Three Meat & Four Cheese Lasagna,Marie Callender Three Meat and Four Cheese Lasagna Family Size,False,290.0,290.0,True,6.0,,False,1.0,11.03,False,3100010187.0,1
225 g,nan,False,Three Cheese Ziti,Marie Callenders Three Cheese Ziti,False,310.0,,False,5.0,,False,0.95,,False,3100050888.0,0
236 g,236 g,True,Hearty Three Meat Marinara,Marie Callender's Rigatonis Hearty Three Meat Marinara,False,310.0,310.0,True,4.0,4.5,False,0.95,0.95,True,3100080026.0,2
236 g,236 g,True,Creamy Chicken Alfredo,Marie Callender'sCreamy Chicken Alfredo,False,280.0,280.0,True,7.0,7.0,True,0.92,0.92,True,3100080030.0,3
188 g,nan,False,Scalloped Potatoes in a Creamy Cheese Sauce with Ham,Marie Callender's Potatoes Scalloped Creamy Cheese Sauce with Ham,False,250.0,,False,7.0,,False,0.74,,False,3100080038.0,0
189 g,189 g,True,Creamy White Mac,Marie Callenders Creamy White Mac,False,290.0,290.0,True,7.0,7.0,True,0.69,0.69,True,3100080039.0,3
75 g,nan,False,Shrimp Crackers,Nongshim America Inc Nongshim Shrimp Cracker,False,380.0,,False,7.0,,False,0.41,,False,3114620012.0,0
250 ml,nan,False,Cran-Tropical Cranberry Tropical Cocktail,Ocean Spray Cranberry Tropical Cocktail,False,90.0,,False,,,False,0.01,,False,3120000612.0,0
250 ml,nan,False,Cran-Mango Cranberry Mango Cocktail,Ocean Spray Cran•Mango Cranberry Mango Cocktail,False,110.0,,False,,,False,0.01,,False,3120004826.0,0
250 ml,nan,False,Original Cranberry Cocktail,Ocean Spray Cranberry Cocktail,False,110.0,,False,,,False,0.005,,False,3120044526.0,0
250 ml,nan,False,Cran-Raspberry Cranberry Raspberry Cocktail,Ocean Spray Cran•Raspberry Cranberry Raspberry Cocktail,False,110.0,,False,,,False,0.04,,False,3120044527.0,0
250 ml,nan,False,Low Calorie Cran-Raspberry Cocktail,Ocean Spray Low Calorie Cran·Raspberry Cocktail,False,40.0,,False,,,False,0.04,,False,3120044619.0,0
295 ml,nan,False,Low Calorie Cranberry Beverage,Ocean Spray Diet Cranberry Low Calorie Beverage,False,10.0,,False,,,False,0.05,,False,3120045683.0,0
1.3 g,nan,False,Organic Caffeine Free Chamomile Tea,Traditional Medicinals Chamomile,False,,,False,,,False,,,False,3291710056.0,0
,nan,False,Organic Ginger Aid Natural Health Product Tea,Traditional Medicinals Organic Ginger Aid Herbal Tea,False,,,False,,,False,,,False,3291710165.0,0
1.5 g,nan,False,Organic Ginger Tea,Traditional Medicinals Organic Ginger,False,,,False,,,False,,,False,3291710173.0,0
150 g,150 g,True,Peach Almond Yogurt Alternative,"SILK Almond Peach Dairy-free yogurt-style,150g",False,180.0,180.0,True,1.0,1.0,True,0.055,0.05,False,3663207224.0,2
150 g,150 g,True,Strawberry Almond Yogurt Alternative,SILK Almond Strawberry yogurt-style Alternative 150g,False,180.0,180.0,True,1.0,1.0,True,0.09,0.095,False,3663207225.0,2
250 ml,250 ml,True,The Chocolate One Dairy-Free Fortified Oat Beverage,"SILK OAT YEAH, Oat Beverage, Chocolate Flavour, 1.75L",False,120.0,120.0,True,0.0,0.5,False,0.125,0.14,False,3663207239.0,1
250 ml,250 ml,True,Plain Dairy-Free Fortified Oat Beverage,"SILK OAT YEAH, Oat Beverage, Plain, 1.75L",False,100.0,80.0,False,0.0,0.3,False,0.11,0.1,False,3663207240.0,0
250 ml,250 ml,True,Vanilla Flavoured Dairy-Free Fortified Oat Beverage,"SILK OAT YEAH, Oat Beverage, Vanilla Flavour, 1.75L",False,90.0,80.0,False,0.0,0.2,False,0.125,0.1,False,3663207241.0,0
15 ml,15 ml,True,The Vanilla One Coffee Whitener,"SILK Oat Yeah for coffee, Vanilla Creamer, 890ml",False,25.0,25.0,True,0.0,0.0,True,0.015,0.015,True,3663207514.0,3
145 g,145 g,True,Vanilla-Cinnamon Almond Probiotic Delight,"Activia Plant-Based Probiotic Yogurt Alernative, Vanilla-Cinnamon Flavour, 145g",False,120.0,120.0,True,0.0,0.3,False,0.025,0.025,True,3663207515.0,2
145 g,145 g,True,Peach-Hibiscus Almond Probiotic Delight,"Activia Plant-Based Probiotic Yogurt Alternative, Peach-Hibiscus Flavour, 145g",False,120.0,120.0,True,0.0,0.3,False,0.02,0.02,True,3663207517.0,2
250 ml,250 ml,True,Fortified Oat Beverage,"SILK OAT YEAH, Oat Beverage ,the Unsweetened One, 1.75L",False,50.0,50.0,True,0.0,0.3,False,0.09,0.09,True,3663207532.0,2
