serving_size_raw_mintel,serving_size_raw_loblaws,serving_size_raw_exact_match,name_mintel,name_loblaws,name_exact_match,calories_mintel,calories_loblaws,calories_exact_match,saturatedfat_mintel,saturatedfat_loblaws,saturatedfat_exact_match,sodium_mintel,sodium_loblaws,sodium_exact_match,upc_code,total_match_count
15 ml,14 G,False,100% Pure Sesame Oil,Pure Sesame Oil,False,120.0,120.0,True,2.0,2.0,True,0.0,0.0,True,8112100281.0,3
10 ml,10 ml,True,Oil Blend,Avocado Oil Plus,False,80.0,80.0,True,1.0,1.0,True,,0.0,False,11115000274.0,3
10 g,10 g,True,Margarine with Olive Oil,Margarine with Olive Oil,True,70.0,70.0,True,1.0,1.0,True,0.07,0.07,True,11115001189.0,5
10 g,10 g,True,Unsalted Plant-Based Spread,Plant Based Spread Unsalted,False,70.0,70.0,True,4.0,4.0,True,0.0,0.0,True,11115001547.0,4
10 g,10 g,True,Salted Plant-Based Spread,Becel Salted Plt Based Brick,False,70.0,70.0,True,4.0,4.0,True,0.075,0.075,True,11115001554.0,4
4 g,8.0 g,False,Organic Light Brown Sugar,Organic Light Brown Sugar,True,15.0,30.0,False,,0.0,False,,0.002,False,12511446413.0,1
57 g,57 g,True,Classic Cheddar Macaroni & Cheese,"Macaroni & Cheese, Classic Mild Cheddar",False,210.0,210.0,True,1.0,1.5,False,0.43,0.43,True,13562000500.0,3
104 g,104 g,True,Deluxe Shells & White Cheddar Macaroni & Cheese Sauce,Deluxe White Cheddar,False,330.0,330.0,True,6.0,6.0,True,0.79,0.79,True,13562119035.0,4
104 g,104 g,True,Deluxe Shells & Cheddar Macaroni & Cheese Sauce,Deluxe Cheddar,False,330.0,330.0,True,5.0,5.0,True,0.76,0.76,True,13562119042.0,4
50 g,,False,Lightly Salted Pistachios,Pistachios No Shells Roasted Light Salt,False,290.0,,False,3.0,,False,0.115,,False,14113700092.0,0
50 g,,False,Chilli Roasted Pistachios,Pistachios No Shells Chili Roasted,False,300.0,,False,3.0,,False,0.43,,False,14113911016.0,0
50 g,,False,Honey Roasted Pistachios,Pistachios No Shells Honey Roasted,False,310.0,,False,3.0,,False,0.16,,False,14113911023.0,0
32 g,32 g,True,Korean Barbecue Beef Steak Strips,"Korean Barbeque Steak Strips, Seasoned & Smoked Beef",False,90.0,90.0,True,0.0,0.4,False,0.53,0.53,True,17082881588.0,3
32 g,32 g,True,Szechuan Peppercorn Beef Steak Strips,"Kitchen Szechuan Peppercorn Steak Strips, Seasoned & Smoked Beef",False,100.0,90.0,False,0.0,0.5,False,0.36,0.44,False,17082881649.0,1
50 g,50 g,True,Chocolate Crunch Cereal,GoLean Chocolate Crunch Cereal,False,200.0,200.0,True,1.0,1.5,False,0.115,0.115,True,18627102632.0,3
40 g,40 g,True,"Pistachio, Fig & Lemon Nut Bar","Bar, Pistachio Fig & Lemon",False,200.0,200.0,True,1.0,1.5,False,0.035,0.035,True,18627105466.0,3
40 g,40 g,True,"Raspberry, Dark Chocolate and Hazelnut Nut Bar","Nut Bars, Raspberry Dark Chocolate Hazelnut",False,220.0,220.0,True,2.0,2.5,False,0.05,0.05,True,18627106906.0,3
55 g,55 g,True,"Almond, Dark Chocolate and Mint Almond Butter Energy Nut Bar",Joi Almond Dark Chocolate Mint Bar,False,260.0,260.0,True,2.0,2.0,True,0.06,0.06,True,18627110361.0,4
50 g,50 g,True,Real Butter Microwave Popcorn,Boomchickapop Popcorn Real Butter 4 Microwave Fresh-Pop Bowls,False,260.0,260.0,True,8.0,8.0,True,0.3,0.3,True,18780017347.0,4
30 ml,30 ml,True,Original Medium Chunky Salsa,"Original Chunky Salsa, Medium",False,15.0,10.0,False,0.0,0.0,True,0.11,0.105,False,20662004505.0,2
30 ml,30 ml,True,Mango Medium Chunky Salsa,"Mango Salsa, Medium",False,25.0,20.0,False,0.0,0.0,True,0.23,0.18,False,20662004529.0,2
30 ml,30 ml,True,Pineapple Medium Chunky Salsa,"Salsa Pineapple, Medium",False,20.0,20.0,True,0.0,0.0,True,0.15,0.135,False,20662004543.0,3
0.5 g,0.5 g,True,Non-Stick Coconut Oil Cooking Spray,"Coconut Oil, Spray",False,0.0,0.0,True,,0.0,False,,0.0,False,22506065604.0,2
10 ml,15 ml,False,Organic Virgin Coconut Oil,"Organic Virgin Coconut Oil, Unrefined",False,80.0,120.0,False,8.0,12.0,False,,0.0,False,22506135642.0,0
100 g,,False,Milk Infant Formula with Iron,"Organic Infant Formula, Milk",False,,,False,,,False,0.118,,False,23923100381.0,0
85 g,42 g,False,No. 81 Cornetti Pasta,Pasta Cornetti No. 81,False,300.0,150.0,False,0.0,0.1,False,0.003,0.0,False,24094000685.0,0
85 g,85 g,True,Penne Rigate N°41 Tricolor Pasta,Pasta Penne Rigate No. 41 Tricolor,False,300.0,300.0,True,0.0,0.0,True,0.003,0.004,False,24094001491.0,3
250 ml,250 ml,True,Dark Chocolate Flavour Fortified Almond Beverage,"SILK Almond Beverage, Dark Chocolate Flavour, 1.89L",False,100.0,100.0,True,0.0,0.3,False,0.23,0.23,True,25293001350.0,3
250 ml,250 ml,True,Original Fortified Coconut Beverage,"SILK Coconut Beverage, Original, Dairy-Free, 1.89L",False,80.0,80.0,True,4.0,4.5,False,0.03,0.04,False,25293001527.0,2
250 ml,250 ml,True,Vanilla Fortified Almond Beverage,True Vanilla Almond,False,90.0,90.0,True,0.0,0.2,False,0.16,0.16,True,25293001688.0,3
250 ml,250 ml,True,Unsweetened Fortified Coconut Beverage,"SILK Coconut Beverage, Unsweetened, Dairy-Free, 1.89L",False,45.0,50.0,False,3.0,4.0,False,0.03,0.035,False,25293002449.0,1
250 ml,250 ml,True,Unsweetened Fortified Almond Coconut Beverage,"SILK Almond Coconut Blend Beverage, Unsweetened, Dairy-Free, 1.89L",False,35.0,35.0,True,1.0,1.0,True,0.28,0.28,True,25293002500.0,4
250 ml,250 ml,True,Original Fortified Cashew Beverage,"SILK Creamy Cashew Beverage, Original, Dairy-Free, 1.89L",False,60.0,60.0,True,0.0,0.5,False,0.16,0.16,True,25293002975.0,3
250 ml,250 ml,True,Unsweetened Fortified Cashew Beverage,"SILK Creamy Cashew Beverage, Unsweetened, Dairy-Free, 1.89L",False,25.0,25.0,True,0.0,0.4,False,0.16,0.16,True,25293002982.0,3
250 ml,250 ml,True,Dark Chocolate Flavoured Fortified Almond Beverage,"SILK Almond Milk, Dark Chocolate Flavour, Dairy-Free, 946ml",False,120.0,120.0,True,0.0,0.4,False,0.16,0.16,True,25293005525.0,3
250 ml,250 ml,True,Dark Chocolate Fortified Soy Beverage,"SILK Soy Beverage, Chocolate Flavour, Dairy-Free, 1.89L",False,140.0,140.0,True,0.0,0.5,False,0.085,0.085,True,25293600751.0,3
15 ml,per 15 ml,False,Original Soy Beverage for Coffee,"SILK Soy for coffee, Original, 473ml",False,,20.0,False,0.0,0.5,False,0.0,0.0,True,25293600768.0,1
,,False,Lively Colombian Coffee K Cup Pods,Lively Colombian K-Cup Coffee Pods,False,,,False,,,False,,,False,25500204147.0,0
22 g,22 g,True,Original Mashed Potatoes,"Mashed Potatoes, Instant",False,80.0,80.0,True,0.0,0.0,True,0.01,0.015,False,29700001148.0,3
100 g,,False,Everything Chopped Kit,Tf Evrythng Ranch Sld Kit 336G,False,160.0,,False,2.0,,False,0.3,,False,30223041962.0,0
100 g,,False,Dill Pickle Chopped Kit,Tf Dill Pckl Chop Sld Kit 341G,False,150.0,,False,2.0,,False,0.29,,False,30223041979.0,0
30 g,30 g,True,Arrowroot Animal Crunchy Cookies,Gluten Free Arrowroot Animals Crunchy Cookies,False,130.0,120.0,False,1.0,1.0,True,0.07,0.085,False,30684571923.0,2
30 g,30 g,True,Swedish Style Ginger Snaps,Cookie Ginger Snap,False,140.0,140.0,True,0.0,0.4,False,0.105,0.12,False,30684571992.0,2
243 g,,False,Cheesy Chicken & Broccoli,Cheesy Chicken & Broccoli,True,220.0,,False,6.0,,False,0.95,,False,31000009168.0,1
237 g,237 g,True,Three Meat & Four Cheese Lasagna,Three Meat and Four Cheese Lasagna Family Size,False,290.0,290.0,True,6.0,6.0,True,1.0,1.03,False,31000101879.0,3
225 g,,False,Three Cheese Ziti,Three Cheese Ziti,True,310.0,,False,5.0,,False,0.95,,False,31000508883.0,1
236 g,236 g,True,Hearty Three Meat Marinara,Three Meat Marinara Casserole,False,310.0,310.0,True,4.0,4.5,False,0.95,0.95,True,31000800260.0,3
189 g,189 g,True,Creamy White Mac,Creamy White Mac,True,290.0,290.0,True,7.0,7.0,True,0.69,0.6900000000000001,False,31000800390.0,4
86 g,86 g,True,Savoury Beef Flavoured Bowl Noodle Soup,"Bowl Noodle Soup, Beef Flavour",False,370.0,370.0,True,6.0,6.0,True,1.0,1.91,False,31146016822.0,3
75 g,75 g,True,Shrimp Crackers,NONG SHIM SHRIMP CRACKER,False,380.0,0.0,False,7.0,8.0,False,0.41,0.43,False,31146200122.0,1
250 ml,,False,Cran-Tropical Cranberry Tropical Cocktail,Cran Tropical Cocktail,False,90.0,,False,,,False,0.01,,False,31200006127.0,0
250 ml,serving size 250 ml,False,Cran-Mango Cranberry Mango Cocktail,Cranberry Mango Cocktail,False,110.0,110.0,True,,0.0,False,0.01,0.01,True,31200048264.0,2
250 ml,serving size 250 ml,False,Original Cranberry Cocktail,Cranberry Cocktail,False,110.0,110.0,True,,0.0,False,0.005,0.005,True,31200445261.0,2
250 ml,serving size 250 ml,False,Cran-Raspberry Cranberry Raspberry Cocktail,Cranberry Raspberry Cocktail,False,110.0,110.0,True,,0.0,False,0.04,0.04,True,31200445278.0,2
250 ml,serving size 250 ml,False,Low Calorie Cran-Raspberry Cocktail,Low Calorie Cranberry Raspberry Cocktail,False,40.0,40.0,True,,0.0,False,0.04,0.04,True,31200446190.0,2
295 ml,serving size 295 ml,False,Low Calorie Cranberry Beverage,"Juice Drink, Diet Cranberry",False,10.0,10.0,True,,0.0,False,0.05,0.025,False,31200456830.0,1
42 g,42 g,True,Milk Chocolate Hazelnut Oysters,Masterpieces Milk Chocolate Hazelnut Oyster,False,230.0,230.0,True,8.0,8.0,True,0.025,0.025,True,31290119561.0,4
100 g,,False,Kale Caesar Chopped Salad Kit,Chop Kale Caesar,False,200.0,,False,3.0,,False,0.35,,False,32601952846.0,0
100 g,,False,Organic Honey Citrus Chopped Salad Kit,Chop Honey Citrus Salad,False,150.0,,False,2.0,,False,0.17,,False,32601952891.0,0
100 g,,False,Asian Chopped Salad Kit,Asian Salad,False,190.0,,False,2.0,,False,0.48,,False,32601953171.0,0
1.75 g,,False,Organic Raspberry Leaf Tea,Organic Raspberry Leaf Herbal Tea,False,,,False,,,False,,,False,32917000798.0,0
1.3 g,,False,Organic Caffeine Free Chamomile Tea,Organic Classic Chamomile Herbal Tea,False,,,False,,,False,,,False,32917100566.0,0
,,False,Organic Echinacea Plus Elderberry Natural Health Product Tea,Organic Echinacea Plus Elderberry Herbal Tea,False,,,False,,,False,,,False,32917101549.0,0
,,False,Organic Ginger Aid Natural Health Product Tea,Organic Ginger Aid Herbal Tea,False,,,False,,,False,,,False,32917101655.0,0
1.5 g,,False,Organic Ginger Tea,Organic Ginger Herbal Tea,False,,,False,,,False,,,False,32917101730.0,0
2 g,,False,Organic Nettle Leaf Tea,Organic Nettle Leaf Herbal Tea,False,,,False,,,False,,,False,32917101815.0,0
1.5 g,,False,Organic Nighty Night Extra Valerian Tea,Organic Nighty Night Valerian Tea,False,,,False,,,False,,,False,32917101938.0,0
240 ml,,False,Organic Hibiscus Tea,Organic Hibiscus Tea,True,0.0,,False,,,False,,,False,32917101952.0,1
15 g,15 g,True,Creamy Peanut Butter and Flaxseed,Creamy Peanut Butter & Flax,False,90.0,90.0,True,1.0,1.5,False,0.055,0.05,False,33776100919.0,2
150 g,150 g,True,Peach Almond Yogurt Alternative,"SILK Almond Peach Dairy-free yogurt-style, 150g",False,180.0,180.0,True,1.0,1.0,True,0.055,0.055,True,36632072245.0,4
150 g,150 g,True,Strawberry Almond Yogurt Alternative,Silk Almond Strawberry yogurt-style Alternative 150g,False,180.0,180.0,True,1.0,1.0,True,0.09,0.09,True,36632072252.0,4
250 ml,,False,Plain Dairy-Free Fortified Oat Beverage,"Oat Yeah Oat Beverage, Original",False,100.0,,False,0.0,,False,0.11,,False,36632072405.0,0
250 ml,,False,Vanilla Flavoured Dairy-Free Fortified Oat Beverage,"Oat Yeah Oat Beverage, Vanilla",False,90.0,,False,0.0,,False,0.125,,False,36632072412.0,0
150 g,150 g,True,Berries & Acai Almond Yogurt Alternative,Yogurt Cultured Almond Berries Acai,False,190.0,190.0,True,1.0,1.0,True,0.075,0.075,True,36632072610.0,4
250 ml,250 ml,True,Sweet-Ish Black Coffee Beverage,"STOK Cold Brew Coffee, Lightly-sweetened, 1.42L",False,45.0,45.0,True,0.0,0.0,True,0.005,0.005,True,36632072948.0,4
15 ml,,False,The Vanilla One Coffee Whitener,"Dairy-Free Oat Cofee Creamer, Vanilla Coconut",False,25.0,,False,0.0,,False,0.015,,False,36632075147.0,0
145 g,,False,Vanilla-Cinnamon Almond Probiotic Delight,"Activia Vanilla Cinnamon Almond Probiotic Delight , 145g",False,120.0,,False,0.0,,False,0.025,,False,36632075154.0,0
145 g,,False,Peach-Hibiscus Almond Probiotic Delight,"Activia Peach Hibiscus Almond Probiotic Delight, 145g",False,120.0,,False,0.0,,False,0.02,,False,36632075178.0,0
250 ml,,False,Fortified Oat Beverage,"Oat Yeah Oat Beverage, Unsweetened",False,50.0,,False,0.0,,False,0.09,,False,36632075321.0,0
15 ml,,False,Vanilla Almond for Coffee Coffee Whitener,"Dairy Free Coffee Whitener ,Almond Vanilla",False,25.0,,False,0.0,,False,0.015,,False,36632075451.0,0
15 ml,per 15 ml,False,Savory Dill Yogurt Salad Dressing,"Salad Dressing, Yogurt & Dill",False,30.0,30.0,True,0.0,0.2,False,0.14,0.14,True,39045392894.0,2
15 ml,per 15 ml,False,Classic Ranch Yogurt Salad Dressing,Classic Ranch Yogurt Salad Dressing,True,30.0,30.0,True,0.0,0.2,False,0.125,0.125,True,39045393969.0,3
10 ml,15 ml,False,Premium Selection Extra Virgin Olive Oil,Extra Virgin Olive Oil,False,82.0,120.0,False,1.0,2.0,False,,0.0,False,39153010024.0,0
10 g,30 g,False,Tapioca Flour,Flour Tapioca,False,35.0,110.0,False,0.0,0.0,True,0.0,0.0,True,39978325365.0,2
34 g,34 g,True,Gluten Free All-Purpose Baking Flour,All-Purpose Baking Flour Gluten Free,False,120.0,120.0,True,0.0,0.1,False,0.004,0.004,True,39978334527.0,3
15 ml,15 mL,False,Double Coffee Whitener,Coffee Whitener Double Double Delight,False,35.0,35.0,True,0.0,1.0,False,0.01,0.015,False,41271028638.0,1
15 ml,15 ml,True,Organic Soy Sauce,Organic Soy Sauce,True,10.0,10.0,True,,0.0,False,1.0,1.02,False,41390001901.0,3
330 ml,,False,Blood Orange & Black Raspberry Carbonated Natural Mineral Water,Essenza Sparkling Water,False,0.0,,False,,,False,0.01,,False,41508302845.0,0
60 ml,60 ml,True,Mild Chunky Salsa,"Salsa, Thick Chunky Mild",False,25.0,25.0,True,0.0,0.0,True,0.48,0.48,True,41565340248.0,4
250 ml,240 ml,False,Almond Coconut Unsweetened Original Non-Dairy Beverage,"Almond Breeze, Unsweetened Almond Coconut",False,45.0,45.0,True,1.0,1.0,True,0.125,0.13,False,41570094464.0,2
15 g,15 g,True,Apple Butter,Select Apple Butter,False,30.0,30.0,True,0.0,0.0,True,0.0,0.0,True,41695061709.0,4
21 g,14 g,False,Wildflower Honey,Wildflower Honey,True,60.0,45.0,False,,0.0,False,,0.001,False,41695097616.0,1
21 g,14 g,False,Wild Berry Honey,Wild Berry Honey,True,60.0,45.0,False,,0.0,False,,0.001,False,41695097623.0,1
15 g,15 g,True,Blackberry Butter,Select Blackberry Butter,False,40.0,40.0,True,0.0,0.0,True,0.0,0.0,True,41695244706.0,4
21 g,14 g,False,Orange Blossom Honey,Orange Blossom Honey,True,60.0,45.0,False,,0.0,False,,0.001,False,41695688616.0,1
,30g,False,Spreadable Cheese Product with Sharp Cheddar and Almonds,Kaukauna Sharp Cheddar Cheese Ball,False,,100.0,False,,4.0,False,,0.19,False,41757021559.0,0
10 ml,10 ml,True,Light Taste Olive Oil,Light Taste Olive Oil,True,80.0,80.0,True,1.0,1.5,False,,0.0,False,41790001402.0,3
10 ml,10 ml,True,Rich Taste Extra Virgin Olive Oil,Rich Taste-Extra Virgin Olive Oil,False,80.0,80.0,True,1.0,1.5,False,,0.0,False,41790002102.0,2
10 ml,10 ml,True,Mild Taste Extra Virgin Olive Oil,Mild Taste-Extra Virgin Olive Oil,False,80.0,80.0,True,1.0,1.5,False,,0.0,False,41790006704.0,2
10 ml,10 ml,True,Organic Rich Taste Extra Virgin Olive Oil,Rich Taste-Organic Extra Virgin Olive Oil,False,80.0,80.0,True,1.0,1.5,False,,0.0,False,41790601190.0,2
,,False,Espresso Decaffeinato Decaffeinated Roasted Ground Coffee,Decaffeinated Roasted Ground Coffee Espresso Decaffeinato Medium Roast 226.8 g,False,,,False,,,False,,,False,41953011088.0,0
,,False,Caffe Espresso Roasted Ground Coffee,Caffe Espresso in Tin,False,,,False,,,False,,,False,41953014508.0,0
,,False,Perfect Symphony Premium Selection Roasted Ground Coffee,Qualita Oro Coffee,False,,,False,,,False,,,False,41953019411.0,0
,,False,Roasted Ground Coffee,Qualita Rossa,False,,,False,,,False,,,False,41953036159.0,0
,,False,Classic Roasted Ground Coffee,Crema & Gusto,False,,,False,,,False,,,False,41953038351.0,0
,,False,Gran Aroma Light Roast Ground Coffee,Gran Aroma Coffee,False,,,False,,,False,,,False,41953075059.0,0
,,False,Classico Medium Roast Ground Coffee,Medium Roast Classico,False,,,False,,,False,,,False,41953075066.0,0
,,False,Perfetto Dark Roast Ground Coffee,Perfetto Espresso Roast,False,,,False,,,False,,,False,41953075073.0,0
,,False,Gran Selezione Dark Roast Ground Coffee,Gran Selezione Coffee,False,,,False,,,False,,,False,41953075080.0,0
71 g,71 g,True,Organic California Veggie Burger,Veggie Burger,False,150.0,150.0,True,0.0,0.5,False,0.55,0.55,True,42272900107.0,3
291 g,291 g,True,Garden Vegetable Lasagna,Garden Vegetable Lasagna,True,290.0,290.0,True,4.0,4.0,True,0.72,0.72,True,42272900411.0,5
269 g,269 g,True,Mexican Casserole,Mexican Casserole Bowls,False,380.0,380.0,True,5.0,5.0,True,0.78,0.78,True,42272901630.0,4
269 g,269 g,True,Pesto Tortellini,"Pasta Bowl, Pesto Tortellini",False,450.0,430.0,False,8.0,8.0,True,0.68,0.64,False,42272901760.0,2
241 g,241 g,True,Spinach & Ricotta Cheese Ravioli,Spinach & Ricotta Cheese Ravioli Bowls,False,290.0,290.0,True,2.0,2.5,False,0.78,0.78,True,42272911295.0,3
15 g,15 g,True,Organic Unsweetened Coconut,"Let's Do Organic 100% Unsweetened Coconut, Shredded",False,100.0,100.0,True,9.0,9.0,True,0.005,0.005,True,43182015202.0,4
76 g,76 g,True,Fakin' Bacon Smoky Tempeh Strips,"Organic Fakin' Bacon Tempeh Strips, Smokey",False,140.0,140.0,True,0.0,1.0,False,0.58,0.65,False,43454000066.0,2
42 g,,False,Plant-Based Hot Dogs,Ll Smart Dogs Canada,False,60.0,,False,0.0,,False,0.36,,False,43454000370.0,0
30 g,,False,Plant Based Bacon,Ll Bacon Canada,False,60.0,,False,0.0,,False,0.49,,False,43454000417.0,0
56 g,,False,Plant-Based Chicken,Ll Tenders Savory Chkn Canada,False,60.0,,False,0.0,,False,0.29,,False,43454000431.0,0
113 g,113 g,True,Plant-Based Burgers,"Lightlife Burger, Previously Frozen",False,260.0,270.0,False,2.0,2.5,False,0.54,0.0,False,43454001032.0,1
5 ml,5.0 g,False,Original Dijon Mustard,Dijon Originale Mustard,False,5.0,10.0,False,,0.0,False,0.12,0.13,False,43646201288.0,0
15 ml,15 ml,True,Balsamic Vinegar of Modena,Balsamic Vinegar,False,25.0,25.0,True,,0.0,False,,0.005,False,43646262708.0,2
15 ml,20 g,False,Pure Strawberry Jam,"Jam, Pure Strawberry",False,54.0,50.0,False,0.0,0.0,True,0.0,0.0,True,43647160010.0,2
128 g,128 g,True,Turkey Bacon Club,"Crustini, Turkey Bacon Club",False,310.0,310.0,True,6.0,6.0,True,0.54,0.54,True,43695060324.0,4
57 g,28 g,False,Apple Cinnamon Fig Bar,"Nature's Bakery Fig Bar, Apple Cinnamon",False,200.0,110.0,False,0.0,0.0,True,0.08,0.035,False,47495210200.0,1
57 g,28 g,False,Blueberry Fig Bar,"Fig Bar, Blueberry",False,200.0,110.0,False,0.0,0.0,True,0.08,0.035,False,47495210217.0,1
57 g,57 g,True,Raspberry Fig Bar,Raspberry Fig Bar,True,200.0,210.0,False,0.0,0.0,True,0.08,0.075,False,47495210248.0,3
3.4 g,3.4 g,True,Chicken Bouillon Powder,Selects Bouillon Chicken Powder,False,5.0,5.0,True,,0.0,False,0.65,0.65,True,48001006980.0,3
250 ml,240 ml,False,100% Pure and Natural Orange Juice with No Pulp,PP Orange Juice No Pulp,False,110.0,110.0,True,,0.1,False,,0.003,False,48500009147.0,1
250 ml,240 ml,False,100% Pure and Natural Orange Juice with No Pulp,Original (No Pulp),False,110.0,110.0,True,,0.1,False,,0.003,False,48500018354.0,1
250 ml,240 ml,False,100% Pure and Natural Orange Juice with Some Pulp,Homestyle (Some Pulp),False,110.0,110.0,True,,0.1,False,,0.003,False,48500018361.0,1
250 ml,250 ml,True,Orange Juice with Added Calcium and Vitamin D,"Tropicana Pulp Free Orange Juice ,Calcium & Vitamin D Added",False,110.0,110.0,True,,0.0,False,,0.0,False,48500018477.0,2
250 ml,250 ml,True,Orange Juice Beverage with Some Pulp,"Trop50 Orange Juice, Pulp",False,50.0,50.0,True,0.0,0.0,True,0.01,0.01,True,48500203132.0,4
355 ml,,False,Unsweetened Medium Roast Iced Coffee,Medium Roast Iced Coffee,False,15.0,,False,,,False,,,False,48500203293.0,0
250 ml,Per 250 mL,False,100% Pure and Natural Orange Juice with Lots of Pulp,Orange Juice Lots of Pulp,False,110.0,110.0,True,0.0,0.0,True,0.0,0.0,True,48500203552.0,3
250 ml,per 250 mL,False,100% Pure & Natural Red Grapefruit Juice,Red Grapefruit,False,90.0,90.0,True,0.0,0.0,True,0.0,0.0,True,48500203606.0,3
355 ml,per 355 mL,False,Hibiscus Lemonade Brewed Herbal Ice Tea,Pure Leaf Herbals Lemonade,False,100.0,100.0,True,,0.0,False,0.0,0.0,True,48500203699.0,2
355 ml,355ML,False,Unsweetened Blonde Roast Iced Coffee,Blonde Roast Iced Coffee,False,10.0,10.0,True,,0.0,False,,0.0,False,48500203705.0,1
2 g,3.0 G,False,Original Lactose Free Coffee Enhancer,"Coffee-Mate, Original",False,10.0,15.0,False,0.0,1.0,False,,0.005,False,50000173945.0,0
2 g,3.0 G,False,Original Lactose Free Coffee Enhancer,COFFEE-MATE Original Powder,False,10.0,15.0,False,0.0,1.0,False,,0.005,False,50000361588.0,0
15 g,28 g,False,Creamy Raw Almond Butter,"Almond Butter, Raw",False,90.0,160.0,False,0.0,1.0,False,0.0,0.0,True,51651093064.0,1
15 g,15 G,False,Creamy Dark Chocolate Almond Spread,Dark Chocolate Almond Spread,False,90.0,90.0,True,1.0,1.5,False,0.015,0.015,True,51651093439.0,2
15 g,15 g,True,No Stir Creamy Almond Butter,"Almond Butter, Creamy, No Stir",False,100.0,100.0,True,1.0,1.0,True,0.03,0.03,True,51651093453.0,4
250 ml,250 ml,True,Organic Vegetable Broth,Organic Vegetable Broth,True,25.0,25.0,True,0.0,0.5,False,0.45,0.45,True,52603054119.0,4
250 ml,250 ml,True,Organic Cashew Carrot Ginger Bisque,Organic Cashew Carrot Ginger Bisque,True,150.0,150.0,True,4.0,5.0,False,0.62,0.62,True,52603054973.0,4
250 ml,250 ml,True,Organic Vegetable Broth,Organic Vegetable Broth,True,25.0,25.0,True,0.0,0.5,False,0.45,0.45,True,52603055154.0,4
236 ml,236 ml,True,Low Sodium Organic Chicken Broth,"Organic Chicken Broth, Low Sodium",False,10.0,10.0,True,0.0,0.0,True,0.03,0.03,True,52603055178.0,4
15 ml,15 ml,True,Ice Coffee Syrup,"Sweet & Creamy, Ice Java",False,40.0,50.0,False,,0.0,False,,0.0,False,55000101622.0,1
16 g,13 g,False,50% Less Sugar Lemon Iced Tea Mix,Nestea Lemon Iced Tea with 50% Less Sugar,False,60.0,50.0,False,0.0,0.0,True,0.001,0.01,False,55000131117.0,1
,,False,Dark Instant and Roast & Ground Coffee,GOLD Dark Roast Instant and Roast & Ground Coffee,False,,,False,,,False,,,False,55000377751.0,0
15 ml,15 ml,True,Sweet Crème Flavoured Coconut Coffee Enhancer,Coffee-Mate Bliss Coconut Sweet Crème Coffee Enhancer,False,30.0,30.0,True,1.0,1.0,True,0.015,0.015,True,55000378048.0,4
15 ml,15 ml,True,Vanilla Flavoured Almond Coffee Enhancer,Coffee-Mate Bliss Almond Vanilla Coffee Enhancer,False,30.0,30.0,True,0.0,0.5,False,0.02,0.02,True,55000378055.0,3
72 ml,,False,Strawberry Cheesecake Ice Cream Bars,Strawberry Cheesecake Ice Cream Bars,True,230.0,,False,10.0,,False,0.03,,False,55000382397.0,1
72 ml,,False,Frozen Dessert Bars,Frozen Dessert Bar,False,180.0,,False,7.0,,False,0.05,,False,55000382458.0,0
72 ml,,False,Frozen Dessert Bars Filled with Chips Ahoy! Pieces,Frozen Dessert Bar,False,180.0,,False,7.0,,False,0.045,,False,55000382465.0,0
15 ml,,False,Caramel Flavoured Almond Coffee Enhancer,Bliss Almond Caramel,False,30.0,,False,0.0,,False,0.02,,False,55000382922.0,0
125 ml,,False,Salted Caramel Burst Ice Cream,Salted Caramel Burst Ice Cream,True,230.0,,False,8.0,,False,0.135,,False,55000383790.0,1
125 ml,,False,Matcha Green Tea Ice Cream,Matcha Green Tea Ice Cream,True,220.0,,False,8.0,,False,0.065,,False,55000383806.0,1
125 ml,,False,Espresso Explosion Ice Cream,Espresso Explosion Ice Cream,True,230.0,,False,7.0,,False,0.06,,False,55000383813.0,1
120 ml,,False,Caramel Non-Dairy Frozen Dessert Cones,Non-Dairy Caramel,False,230.0,,False,8.0,,False,0.08,,False,55000383837.0,0
72 ml,,False,Salted Caramel Brownie Ice Cream Bars,Salted Caramel Brownie Ice Cream Bars,True,260.0,,False,10.0,,False,0.105,,False,55000383905.0,1
125 ml,,False,Espresso Chocolate Cookie Ice Cream,Espresso Chocolate Cookie Ice Cream,True,270.0,,False,10.0,,False,0.08,,False,55000383912.0,1
125 ml,,False,Salted Caramel Brownie Ice Cream,Salted Caramel Brownie Ice Cream,True,300.0,,False,10.0,,False,0.15,,False,55000383929.0,1
14 g,,False,Toffee Nut Latte Flavoured Coffee Mix,Toffee Nut Latte Coffee,False,60.0,,False,1.0,,False,0.055,,False,55000384018.0,0
23 g,,False,Cappuccino Coffee Mix,Cappuccino Coffee,False,90.0,,False,1.0,,False,0.075,,False,55000384025.0,0
80 ml,,False,Frozen Dessert Bars,Frozen Dessert Bars,True,190.0,,False,8.0,,False,0.05,,False,55000385275.0,1
125 ml,125 ml,True,Frozen Dessert,Oreo Ice Cream,False,140.0,140.0,True,3.0,3.5,False,0.065,0.065,True,55000403603.0,3
,,False,Colombian Instant Coffee,"RICH Colombian, Instant Coffee",False,,,False,,,False,,,False,55000489256.0,0
15 g,15 g,True,Instant Coffee with Coffee Whitener & Sugar,Coffee Mix,False,70.0,70.0,True,2.0,2.5,False,0.075,0.07,False,55000506748.0,2
15 ml,15 ml,True,Authentic Indian Masala Chilli Sauce,Masala Chilli Sauce,False,25.0,50.0,False,,0.0,False,0.18,0.26,False,55000598125.0,1
