serving_size_raw_mintel,serving_size_raw_loblaws,serving_size_raw_exact_match,name_mintel,name_loblaws,name_exact_match,calories_mintel,calories_loblaws,calories_exact_match,saturatedfat_mintel,saturatedfat_loblaws,saturatedfat_exact_match,sodium_mintel,sodium_loblaws,sodium_exact_match,upc_code,total_match_count
19 g,,False,Garlic Romano Cheese Sticks,CheeseSticks Garlic Romano,False,80.0,,False,2.0,,False,0.12,,False,724923103906.0,0
19 g,,False,Melting Parmesan Cheese Sticks,CheeseSticks Melting Parmesan,False,90.0,,False,3.0,,False,0.135,,False,724923111901.0,0
45 g,45 g,True,Pure Original Basmati,"Pure Basmati Rice, Bag",False,160.0,160.0,True,0.0,0.0,True,0.0,0.0,True,725299030346.0,4
40 g,,False,Cassava Chips with Sea Salt,Cassava Sea Salt,False,200.0,,False,6.0,,False,0.16,,False,728229015635.0,0
40 g,40 g,True,Mediterranean Exotic Vegetable Chips,"Vegetable Chips, Mediterranean",False,220.0,210.0,False,1.0,1.5,False,0.22,0.21,False,728229123583.0,1
40 g,40 g,True,Blues Potato Chips with Sea Salt,Blue,False,180.0,180.0,True,1.0,1.0,True,0.16,0.16,True,728229129547.0,4
40 g,40 g,True,Plantain Vegetable Chips,Exotic Vegetable Chips Plantains Sea Salt,False,210.0,0.0,False,9.0,9.0,True,0.11,0.11,True,728229140603.0,3
40 g,40 g,True,Original Exotic Vegetable Chips,Exotic Vegetables Chips,False,200.0,200.0,True,1.0,1.0,True,0.11,0.11,True,728229900016.0,4
125 g,125 g,True,Pacific Pink Salmon Skin-On Fillets,Pacific Salmon Fillets,False,150.0,150.0,True,0.0,0.5,False,0.085,0.085,True,731149515062.0,3
,,False,Intenso Bold Roast Ground Illy Blend Coffee,Ground Espresso Intenso Bold Roast,False,,,False,,,False,,,False,733411000085.0,0
55 g,55 g,True,Crunchy Baked Oats Granola,Simply Granola Crunchy Baked Oats,False,230.0,230.0,True,2.0,2.0,True,0.005,0.005,True,737282350874.0,4
32 g,32 g,True,Crunchy Sunflower Butter,SunButter Original Crunch,False,200.0,200.0,True,1.0,2.0,False,0.13,0.12,False,737539190864.0,2
14 g,15 G,False,Red Curry Paste,Red Curry Paste,True,15.0,20.0,False,0.0,0.0,True,0.33,0.35000000000000003,False,737628003006.0,2
15 g,15 G,False,Green Curry Paste,Green Curry Paste,True,15.0,15.0,True,0.0,0.0,True,0.35,0.35000000000000003,False,737628004003.0,3
30 ml,30 ML,False,Peanut Satay Sauce,Peanut Satay Sauce,True,80.0,80.0,True,2.0,2.5,False,0.19,0.22,False,737628005000.0,2
83 ml,79 ml,False,Unsweetened Premium Coconut Milk,Coconut Milk,False,150.0,140.0,False,13.0,12.0,False,0.02,0.02,True,737628011506.0,1
17 g,18 g,False,Yellow Curry Paste,Yellow Curry Paste,True,35.0,35.0,True,0.0,0.4,False,0.43,0.47,False,737628012008.0,2
13 g,13 g,True,70% Cacao Extra Dark Chocolate,Lindt 70% Cacao,False,80.0,80.0,True,5.0,5.0,True,0.01,0.01,True,743434000986.0,4
13 g,,False,Strawberries & Cream Flavoured White Chocolate,Lindor Strawberries & Cream,False,80.0,,False,4.0,,False,0.01,,False,743434007206.0,0
68 ml,68 ml,True,Vanilla Bean Coconut Dipped Bars,"Coconut Dairy-Free Frozen Dessert Bars, Vanilla with Chocolate coating,68ml (Pack of 4)",False,170.0,160.0,False,10.0,10.0,True,0.0,0.025,False,744473274116.0,2
250 ml,250 ml,True,Organic Unsweetened Coconut Beverage,"So Delicious Coconut Beverage, Unsweetened, Dairy-Free, 946ml",False,45.0,45.0,True,4.0,4.0,True,0.015,0.015,True,744473292059.0,4
250 ml,250 ml,True,Organic Original Coconut Beverage,"So Delicious Coconut Beverage, Original, Dairy-Free, 946ml",False,70.0,70.0,True,4.0,4.0,True,0.015,0.015,True,744473292103.0,4
125 ml,125 ml,True,Holiday Nog Coconut Seasonal Beverage,Coconut Milk Holiday Nog,False,90.0,90.0,True,2.0,2.0,True,0.12,0.12,True,744473293315.0,4
12 g,12 g,True,Coconut Whipped Topping,Dairy-Free Whipping Cream,False,30.0,30.0,True,2.0,1.5,False,0.0,0.0,True,744473299973.0,3
30 g,15 G,False,Sea Salt Caramel Dark Chocolate,Chocolate,False,140.0,70.0,False,5.0,2.5,False,0.065,0.03,False,747599303142.0,0
250 ml,240 ml,False,100% Litchi Juice Blend,Litchi Juice,False,130.0,120.0,False,0.0,0.0,True,0.015,0.01,False,751217123456.0,1
250 ml,240 ml,False,Medley of Fruits Juice Blend,Fruit Medley Juice,False,120.0,130.0,False,0.0,0.0,True,0.015,0.01,False,751217123494.0,1
28 g,28 g,True,Simply Dark Hot Chocolate,Organic Simply Dark Hot Chocolate,False,,120.0,False,1.0,1.0,True,0.003,0.003,True,752612000298.0,3
40 g,40 g,True,Milk Chocolate with 38% Cacao and a Hint of Hazelnut,Organic Milk Chocolate Bar,False,230.0,230.0,True,9.0,9.0,True,0.04,0.04,True,752612100158.0,4
40 g,40 g,True,Almond Dark Chocolate with 55% Cacao,"Organic Dark Chocolate Bar, Almonds 55%",False,230.0,230.0,True,8.0,9.0,False,0.0,0.0,True,752612100165.0,3
40 g,40 g,True,Bittersweet Dark Chocolate with 71% Cacao,Organic Bittersweet Chocolate Bar,False,230.0,230.0,True,10.0,11.0,False,0.0,0.0,True,752612100172.0,3
40 g,40 g,True,Extra Dark Chocolate with 80% Cacao,"Organic Dark Chocolate Bar, Panama Extra Dark 80%",False,240.0,240.0,True,12.0,12.0,True,0.0,0.0,True,752612100349.0,4
125 ml,125 g,False,Wild Mushroom Pasta Sauce,Wild Mushroom,False,80.0,60.0,False,0.0,0.5,False,0.37,0.27,False,753469010034.0,0
47 g,,False,Outlaw Spicy BBQ Rolled Tortilla Chips,Barcel Takis Outlaw,False,250.0,,False,3.0,,False,0.18,,False,757528040666.0,0
