serving_size_raw_mintel,serving_size_raw_loblaws,serving_size_raw_exact_match,name_mintel,name_loblaws,name_exact_match,calories_mintel,calories_loblaws,calories_exact_match,saturatedfat_mintel,saturatedfat_loblaws,saturatedfat_exact_match,sodium_mintel,sodium_loblaws,sodium_exact_match,sugar_mintel,sugar_loblaws,sugar_exact_match,upc_code,total_match_count,date
10g,10g,True,Unsalted Plant-Based Spread,Plant Based Spread Unsalted,False,70.0,70.0,True,4.0,4.0,True,0.0,0.0,True,0.0,0.0,True,11115001547.0,5,July '22
10g,10g,True,Salted Plant-Based Spread,Becel Salted Plt Based Brick,False,70.0,70.0,True,4.0,4.0,True,0.075,0.075,True,0.0,0.0,True,11115001554.0,5,July '22
4g,8.0g,False,Organic Light Brown Sugar,Organic Light Brown Sugar,True,15.0,30.0,False,,0.0,False,,0.002,False,4.0,8.0,False,12511446413.0,1,July '22
57g,57g,True,Classic Cheddar Macaroni & Cheese,"Macaroni & Cheese, Classic Mild Cheddar",False,210.0,210.0,True,1.5,1.5,True,0.43,0.43,True,5.0,5.0,True,13562000500.0,5,July '22
104g,104g,True,Deluxe Shells & White Cheddar Macaroni & Cheese Sauce,Deluxe White Cheddar,False,330.0,330.0,True,6.0,6.0,True,0.79,0.79,True,3.0,3.0,True,13562119035.0,5,July '22
104g,104g,True,Deluxe Shells & Cheddar Macaroni & Cheese Sauce,Deluxe Cheddar,False,330.0,330.0,True,5.0,5.0,True,0.76,0.76,True,3.0,3.0,True,13562119042.0,5,July '22
50g,,False,Lightly Salted Pistachios,Pistachios No Shells Roasted Light Salt,False,290.0,,False,3.0,,False,0.115,,False,4.0,,False,14113700092.0,0,July '22
32g,32g,True,Korean Barbecue Beef Steak Strips,"Korean Barbeque Steak Strips, Seasoned & Smoked Beef",False,90.0,90.0,True,0.4,0.4,True,0.53,0.53,True,8.0,8.0,True,17082881588.0,5,July '22
32g,32g,True,Szechuan Peppercorn Beef Steak Strips,"Kitchen Szechuan Peppercorn Steak Strips, Seasoned & Smoked Beef",False,100.0,90.0,False,0.4,0.5,False,0.36,0.44,False,8.0,6.0,False,17082881649.0,1,July '22
50g,50g,True,Chocolate Crunch Cereal,GoLean Chocolate Crunch Cereal,False,200.0,200.0,True,1.5,1.5,True,0.115,0.115,True,10.0,10.0,True,18627102632.0,5,July '22
40g,40g,True,"Pistachio, Fig & Lemon Nut Bar","Bar, Pistachio Fig & Lemon",False,200.0,200.0,True,1.5,1.5,True,0.035,0.035,True,6.0,6.0,True,18627105466.0,5,July '22
40g,40g,True,"Raspberry, Dark Chocolate and Hazelnut Nut Bar","Nut Bars, Raspberry Dark Chocolate Hazelnut",False,220.0,220.0,True,2.5,2.5,True,0.05,0.05,True,5.0,5.0,True,18627106906.0,5,July '22
55g,55g,True,"Almond, Dark Chocolate and Mint Almond Butter Energy Nut Bar",Joi Almond Dark Chocolate Mint Bar,False,260.0,260.0,True,2.0,2.0,True,0.06,0.06,True,10.0,10.0,True,18627110361.0,5,July '22
50g,50g,True,Real Butter Microwave Popcorn,Boomchickapop Popcorn Real Butter 4 Microwave Fresh-Pop Bowls,False,260.0,260.0,True,8.0,8.0,True,0.3,0.3,True,0.0,0.0,True,18780017347.0,5,July '22
30ml,30ml,True,Original Medium Chunky Salsa,"Original Chunky Salsa, Medium",False,15.0,10.0,False,0.0,0.0,True,0.11,0.105,False,1.0,1.0,True,20662004505.0,3,July '22
30ml,30ml,True,Mango Medium Chunky Salsa,"Mango Salsa, Medium",False,25.0,20.0,False,0.0,0.0,True,0.23,0.18,False,5.0,3.0,False,20662004529.0,2,July '22
30ml,30ml,True,Pineapple Medium Chunky Salsa,"Salsa Pineapple, Medium",False,20.0,20.0,True,0.0,0.0,True,0.15,0.135,False,4.0,4.0,True,20662004543.0,4,July '22
0.5g,0.5g,True,Non-Stick Coconut Oil Cooking Spray,"Coconut Oil, Spray",False,0.0,0.0,True,,0.0,False,,0.0,False,,0.0,False,22506065604.0,2,July '22
10ml,15ml,False,Organic Virgin Coconut Oil,"Organic Virgin Coconut Oil, Unrefined",False,80.0,120.0,False,8.0,12.0,False,,0.0,False,,0.0,False,22506135642.0,0,July '22
100g,,False,Milk Infant Formula with Iron,"Organic Infant Formula, Milk",False,522.0,,False,,,False,0.118,,False,,,False,23923100381.0,0,July '22
85g,85g,True,Penne Rigate N°41 Tricolor Pasta,Pasta Penne Rigate No. 41 Tricolor,False,300.0,300.0,True,0.3,0.0,False,0.003,0.004,False,4.0,4.0,True,24094001491.0,3,July '22
250ml,250ml,True,Original Fortified Coconut Beverage,"SILK Coconut Beverage, Original, Dairy-Free, 1.89L",False,80.0,80.0,True,4.5,4.5,True,0.03,0.04,False,7.0,7.0,True,25293001527.0,4,July '22
250ml,250ml,True,Unsweetened Fortified Coconut Beverage,"SILK Coconut Beverage, Unsweetened, Dairy-Free, 1.89L",False,45.0,50.0,False,3.5,4.0,False,0.03,0.035,False,0.0,1.0,False,25293002449.0,1,July '22
250ml,250ml,True,Unsweetened Fortified Almond Coconut Beverage,"SILK Almond Coconut Blend Beverage, Unsweetened, Dairy-Free, 1.89L",False,35.0,35.0,True,1.0,1.0,True,0.28,0.28,True,0.0,0.0,True,25293002500.0,5,July '22
250ml,250ml,True,Original Fortified Cashew Beverage,"SILK Creamy Cashew Beverage, Original, Dairy-Free, 1.89L",False,60.0,60.0,True,0.4,0.5,False,0.16,0.16,True,8.0,8.0,True,25293002975.0,4,July '22
250ml,250ml,True,Dark Chocolate Flavoured Fortified Almond Beverage,"SILK Almond Milk, Dark Chocolate Flavour, Dairy-Free, 946ml",False,120.0,120.0,True,0.4,0.4,True,0.16,0.16,True,22.0,22.0,True,25293005525.0,5,July '22
250ml,250ml,True,Dark Chocolate Fortified Soy Beverage,"SILK Soy Beverage, Chocolate Flavour, Dairy-Free, 1.89L",False,140.0,140.0,True,0.5,0.5,True,0.085,0.085,True,18.0,18.0,True,25293600751.0,5,July '22
15ml,per15ml,False,Original Soy Beverage for Coffee,"SILK Soy for coffee, Original, 473ml",False,,20.0,False,0.5,0.5,True,0.0,0.0,True,1.0,1.0,True,25293600768.0,3,July '22
22g,22g,True,Original Mashed Potatoes,"Mashed Potatoes, Instant",False,80.0,80.0,True,0.1,0.0,False,0.01,0.015,False,0.0,1.0,False,29700001148.0,2,July '22
30g,30g,True,Arrowroot Animal Crunchy Cookies,Gluten Free Arrowroot Animals Crunchy Cookies,False,130.0,120.0,False,1.0,1.0,True,0.07,0.085,False,9.0,9.0,True,30684571923.0,3,July '22
30g,30g,True,Swedish Style Ginger Snaps,Cookie Ginger Snap,False,140.0,140.0,True,0.5,0.4,False,0.105,0.12,False,11.0,11.0,True,30684571992.0,3,July '22
243g,,False,Cheesy Chicken & Broccoli,Cheesy Chicken & Broccoli,True,220.0,,False,6.0,,False,0.95,,False,5.0,,False,31000009168.0,1,July '22
237g,237g,True,Three Meat & Four Cheese Lasagna,Three Meat and Four Cheese Lasagna Family Size,False,290.0,290.0,True,6.0,6.0,True,1.03,1.03,True,6.0,6.0,True,31000101879.0,5,July '22
225g,,False,Three Cheese Ziti,Three Cheese Ziti,True,310.0,,False,5.0,,False,0.95,,False,6.0,,False,31000508883.0,1,July '22
236g,236g,True,Hearty Three Meat Marinara,Three Meat Marinara Casserole,False,310.0,310.0,True,4.5,4.5,True,0.95,0.95,True,8.0,8.0,True,31000800260.0,5,July '22
86g,86g,True,Savoury Beef Flavoured Bowl Noodle Soup,"Bowl Noodle Soup, Beef Flavour",False,370.0,370.0,True,6.0,6.0,True,1.72,1.91,False,5.0,5.0,True,31146016822.0,4,July '22
75g,75g,True,Shrimp Crackers,NONG SHIM SHRIMP CRACKER,False,380.0,0.0,False,7.0,8.0,False,0.41,0.43,False,3.0,2.0,False,31146200122.0,1,July '22
250ml,,False,Cran-Tropical Cranberry Tropical Cocktail,Cran Tropical Cocktail,False,90.0,,False,,,False,0.01,,False,21.0,,False,31200006127.0,0,July '22
250ml,servingsize250ml,False,Cran-Mango Cranberry Mango Cocktail,Cranberry Mango Cocktail,False,110.0,110.0,True,,0.0,False,0.01,0.01,True,27.0,28.0,False,31200048264.0,2,July '22
295ml,servingsize295ml,False,Low Calorie Cranberry Beverage,"Juice Drink, Diet Cranberry",False,10.0,10.0,True,,0.0,False,0.05,0.025,False,1.0,0.0,False,31200456830.0,1,July '22
42g,42g,True,Milk Chocolate Hazelnut Oysters,Masterpieces Milk Chocolate Hazelnut Oyster,False,230.0,230.0,True,8.0,8.0,True,0.025,0.025,True,21.0,21.0,True,31290119561.0,5,July '22
1.75g,,False,Organic Raspberry Leaf Tea,Organic Raspberry Leaf Herbal Tea,False,,,False,,,False,,,False,,,False,32917000798.0,0,July '22
1.3g,,False,Organic Caffeine Free Chamomile Tea,Organic Classic Chamomile Herbal Tea,False,,,False,,,False,,,False,,,False,32917100566.0,0,July '22
,,False,Organic Echinacea Plus Elderberry Natural Health Product Tea,Organic Echinacea Plus Elderberry Herbal Tea,False,,,False,,,False,,,False,,,False,32917101549.0,0,July '22
,,False,Organic Ginger Aid Natural Health Product Tea,Organic Ginger Aid Herbal Tea,False,,,False,,,False,,,False,,,False,32917101655.0,0,July '22
1.5g,,False,Organic Ginger Tea,Organic Ginger Herbal Tea,False,,,False,,,False,,,False,,,False,32917101730.0,0,July '22
2g,,False,Organic Nettle Leaf Tea,Organic Nettle Leaf Herbal Tea,False,,,False,,,False,,,False,,,False,32917101815.0,0,July '22
1.5g,,False,Organic Nighty Night Extra Valerian Tea,Organic Nighty Night Valerian Tea,False,,,False,,,False,,,False,,,False,32917101938.0,0,July '22
240ml,,False,Organic Hibiscus Tea,Organic Hibiscus Tea,True,0.0,,False,,,False,,,False,,,False,32917101952.0,1,July '22
15g,15g,True,Creamy Peanut Butter and Flaxseed,Creamy Peanut Butter & Flax,False,90.0,90.0,True,1.5,1.5,True,0.055,0.05,False,1.0,1.0,True,33776100919.0,4,July '22
150g,150g,True,Peach Almond Yogurt Alternative,"SILK Almond Peach Dairy-free yogurt-style, 150g",False,180.0,180.0,True,1.0,1.0,True,0.055,0.055,True,12.0,12.0,True,36632072245.0,5,July '22
250ml,,False,Vanilla Flavoured Dairy-Free Fortified Oat Beverage,"Oat Yeah Oat Beverage, Vanilla",False,90.0,,False,0.2,,False,0.125,,False,6.0,,False,36632072412.0,0,July '22
150g,150g,True,Berries & Acai Almond Yogurt Alternative,Yogurt Cultured Almond Berries Acai,False,190.0,190.0,True,1.0,1.0,True,0.075,0.075,True,13.0,13.0,True,36632072610.0,5,July '22
145g,,False,Vanilla-Cinnamon Almond Probiotic Delight,"Activia Vanilla Cinnamon Almond Probiotic Delight , 145g",False,120.0,,False,0.3,,False,0.025,,False,8.0,,False,36632075154.0,0,July '22
145g,,False,Peach-Hibiscus Almond Probiotic Delight,"Activia Peach Hibiscus Almond Probiotic Delight, 145g",False,120.0,,False,0.3,,False,0.02,,False,8.0,,False,36632075178.0,0,July '22
15ml,,False,Vanilla Almond for Coffee Coffee Whitener,"Dairy Free Coffee Whitener ,Almond Vanilla",False,25.0,,False,0.0,,False,0.015,,False,4.0,,False,36632075451.0,0,July '22
15ml,per15ml,False,Savory Dill Yogurt Salad Dressing,"Salad Dressing, Yogurt & Dill",False,30.0,30.0,True,0.2,0.2,True,0.14,0.14,True,1.0,1.0,True,39045392894.0,4,July '22
10g,30g,False,Tapioca Flour,Flour Tapioca,False,35.0,110.0,False,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,39978325365.0,3,July '22
34g,34g,True,Gluten Free All-Purpose Baking Flour,All-Purpose Baking Flour Gluten Free,False,120.0,120.0,True,0.1,0.1,True,0.004,0.004,True,0.0,0.0,True,39978334527.0,5,July '22
15ml,15mL,False,Double Coffee Whitener,Coffee Whitener Double Double Delight,False,35.0,35.0,True,0.5,1.0,False,0.01,0.015,False,5.0,5.0,True,41271028638.0,2,July '22
15ml,15ml,True,Organic Soy Sauce,Organic Soy Sauce,True,10.0,10.0,True,,0.0,False,1.02,1.02,True,,0.0,False,41390001901.0,4,July '22
330ml,,False,Blood Orange & Black Raspberry Carbonated Natural Mineral Water,Essenza Sparkling Water,False,0.0,,False,,,False,0.01,,False,,,False,41508302845.0,0,July '22
250ml,240ml,False,Almond Coconut Unsweetened Original Non-Dairy Beverage,"Almond Breeze, Unsweetened Almond Coconut",False,45.0,45.0,True,1.0,1.0,True,0.125,0.13,False,1.0,0.0,False,41570094464.0,2,July '22
15g,15g,True,Apple Butter,Select Apple Butter,False,30.0,30.0,True,0.0,0.0,True,0.0,0.0,True,7.0,7.0,True,41695061709.0,5,July '22
21g,14g,False,Wildflower Honey,Wildflower Honey,True,60.0,45.0,False,,0.0,False,,0.001,False,17.0,12.0,False,41695097616.0,1,July '22
21g,14g,False,Wild Berry Honey,Wild Berry Honey,True,60.0,45.0,False,,0.0,False,,0.001,False,17.0,12.0,False,41695097623.0,1,July '22
15g,15g,True,Blackberry Butter,Select Blackberry Butter,False,40.0,40.0,True,0.0,0.0,True,0.0,0.0,True,9.0,9.0,True,41695244706.0,5,July '22
21g,14g,False,Orange Blossom Honey,Orange Blossom Honey,True,60.0,45.0,False,,0.0,False,,0.001,False,17.0,12.0,False,41695688616.0,1,July '22
,30g,False,Spreadable Cheese Product with Sharp Cheddar and Almonds,Kaukauna Sharp Cheddar Cheese Ball,False,,100.0,False,,4.0,False,,0.19,False,,4.0,False,41757021559.0,0,July '22
10ml,10ml,True,Light Taste Olive Oil,Light Taste Olive Oil,True,80.0,80.0,True,1.5,1.5,True,,0.0,False,,0.0,False,41790001402.0,4,July '22
,,False,Espresso Decaffeinato Decaffeinated Roasted Ground Coffee,Decaffeinated Roasted Ground Coffee Espresso Decaffeinato Medium Roast 226.8 g,False,,,False,,,False,,,False,,,False,41953011088.0,0,July '22
,,False,Caffe Espresso Roasted Ground Coffee,Caffe Espresso in Tin,False,,,False,,,False,,,False,,,False,41953014508.0,0,July '22
,,False,Perfetto Dark Roast Ground Coffee,Perfetto Espresso Roast,False,,,False,,,False,,,False,,,False,41953075073.0,0,July '22
,,False,Gran Selezione Dark Roast Ground Coffee,Gran Selezione Coffee,False,,,False,,,False,,,False,,,False,41953075080.0,0,July '22
71g,71g,True,Organic California Veggie Burger,Veggie Burger,False,150.0,150.0,True,0.5,0.5,True,0.55,0.55,True,1.0,1.0,True,42272900107.0,5,July '22
291g,291g,True,Garden Vegetable Lasagna,Garden Vegetable Lasagna,True,290.0,290.0,True,4.0,4.0,True,0.72,0.72,True,7.0,7.0,True,42272900411.0,6,July '22
269g,269g,True,Mexican Casserole,Mexican Casserole Bowls,False,380.0,380.0,True,5.0,5.0,True,0.78,0.78,True,4.0,4.0,True,42272901630.0,5,July '22
269g,269g,True,Pesto Tortellini,"Pasta Bowl, Pesto Tortellini",False,450.0,430.0,False,8.0,8.0,True,0.68,0.64,False,5.0,5.0,True,42272901760.0,3,July '22
241g,241g,True,Spinach & Ricotta Cheese Ravioli,Spinach & Ricotta Cheese Ravioli Bowls,False,290.0,290.0,True,2.5,2.5,True,0.78,0.78,True,6.0,6.0,True,42272911295.0,5,July '22
15g,15g,True,Organic Unsweetened Coconut,"Let's Do Organic 100% Unsweetened Coconut, Shredded",False,100.0,100.0,True,9.0,9.0,True,0.005,0.005,True,1.0,1.0,True,43182015202.0,5,July '22
76g,76g,True,Fakin' Bacon Smoky Tempeh Strips,"Organic Fakin' Bacon Tempeh Strips, Smokey",False,140.0,140.0,True,0.5,1.0,False,0.58,0.65,False,2.0,2.0,True,43454000066.0,3,July '22
113g,113g,True,Plant-Based Burgers,"Lightlife Burger, Previously Frozen",False,250.0,270.0,False,5.0,2.5,False,0.49,0.0,False,1.0,0.0,False,43454001032.0,1,July '22
15ml,20g,False,Pure Strawberry Jam,"Jam, Pure Strawberry",False,54.0,50.0,False,0.0,0.0,True,0.0,0.0,True,11.0,13.0,False,43647160010.0,2,July '22
57g,28g,False,Apple Cinnamon Fig Bar,"Nature's Bakery Fig Bar, Apple Cinnamon",False,200.0,110.0,False,0.4,0.0,False,0.08,0.035,False,19.0,10.0,False,47495210200.0,0,July '22
57g,28g,False,Blueberry Fig Bar,"Fig Bar, Blueberry",False,200.0,110.0,False,0.5,0.0,False,0.08,0.035,False,20.0,10.0,False,47495210217.0,0,July '22
57g,57g,True,Raspberry Fig Bar,Raspberry Fig Bar,True,200.0,210.0,False,0.4,0.0,False,0.08,0.075,False,19.0,21.0,False,47495210248.0,2,July '22
15g,28g,False,Creamy Raw Almond Butter,"Almond Butter, Raw",False,90.0,160.0,False,0.5,1.0,False,0.0,0.0,True,1.0,1.0,True,51651093064.0,2,July '22
15g,15G,False,Creamy Dark Chocolate Almond Spread,Dark Chocolate Almond Spread,False,90.0,90.0,True,1.5,1.5,True,0.015,0.015,True,4.0,4.0,True,51651093439.0,4,July '22
15g,15g,True,No Stir Creamy Almond Butter,"Almond Butter, Creamy, No Stir",False,100.0,100.0,True,1.0,1.0,True,0.03,0.03,True,1.0,1.0,True,51651093453.0,5,July '22
250ml,250ml,True,Organic Vegetable Broth,Organic Vegetable Broth,True,25.0,25.0,True,0.5,0.5,True,0.45,0.45,True,2.0,2.0,True,52603054119.0,6,July '22
250ml,250ml,True,Organic Cashew Carrot Ginger Bisque,Organic Cashew Carrot Ginger Bisque,True,150.0,150.0,True,4.0,5.0,False,0.62,0.62,True,12.0,8.0,False,52603054973.0,4,July '22
250ml,250ml,True,Organic Vegetable Broth,Organic Vegetable Broth,True,25.0,25.0,True,0.5,0.5,True,0.45,0.45,True,2.0,2.0,True,52603055154.0,6,July '22
236ml,236ml,True,Low Sodium Organic Chicken Broth,"Organic Chicken Broth, Low Sodium",False,10.0,10.0,True,0.0,0.0,True,0.03,0.03,True,0.0,0.0,True,52603055178.0,5,July '22
15ml,15ml,True,Sweet Crème Flavoured Coconut Coffee Enhancer,Coffee-Mate Bliss Coconut Sweet Crème Coffee Enhancer,False,30.0,30.0,True,1.0,1.0,True,0.03,0.015,False,5.0,4.0,False,55000378048.0,3,July '22
15ml,15ml,True,Vanilla Flavoured Almond Coffee Enhancer,Coffee-Mate Bliss Almond Vanilla Coffee Enhancer,False,30.0,30.0,True,0.5,0.5,True,0.03,0.02,False,5.0,5.0,True,55000378055.0,4,July '22
72ml,,False,Frozen Dessert Bars,Frozen Dessert Bar,False,180.0,,False,7.0,,False,0.05,,False,14.0,,False,55000382458.0,0,July '22
72ml,,False,Frozen Dessert Bars Filled with Chips Ahoy! Pieces,Frozen Dessert Bar,False,180.0,,False,7.0,,False,0.045,,False,14.0,,False,55000382465.0,0,July '22
15ml,,False,Caramel Flavoured Almond Coffee Enhancer,Bliss Almond Caramel,False,30.0,,False,0.5,,False,0.03,,False,5.0,,False,55000382922.0,0,July '22
125ml,,False,Salted Caramel Burst Ice Cream,Salted Caramel Burst Ice Cream,True,230.0,,False,8.0,,False,0.135,,False,23.0,,False,55000383790.0,1,July '22
125ml,,False,Matcha Green Tea Ice Cream,Matcha Green Tea Ice Cream,True,220.0,,False,8.0,,False,0.065,,False,22.0,,False,55000383806.0,1,July '22
125ml,,False,Espresso Explosion Ice Cream,Espresso Explosion Ice Cream,True,230.0,,False,7.0,,False,0.06,,False,25.0,,False,55000383813.0,1,July '22
72ml,,False,Salted Caramel Brownie Ice Cream Bars,Salted Caramel Brownie Ice Cream Bars,True,260.0,,False,10.0,,False,0.105,,False,19.0,,False,55000383905.0,1,July '22
14g,,False,Toffee Nut Latte Flavoured Coffee Mix,Toffee Nut Latte Coffee,False,60.0,,False,1.0,,False,0.055,,False,8.0,,False,55000384018.0,0,July '22
23g,,False,Cappuccino Coffee Mix,Cappuccino Coffee,False,90.0,,False,1.5,,False,0.075,,False,13.0,,False,55000384025.0,0,July '22
,,False,Colombian Instant Coffee,"RICH Colombian, Instant Coffee",False,,,False,,,False,,,False,,,False,55000489256.0,0,July '22
15g,15g,True,Instant Coffee with Coffee Whitener & Sugar,Coffee Mix,False,70.0,70.0,True,2.0,2.5,False,0.075,0.07,False,6.0,7.0,False,55000506748.0,2,July '22
15ml,15ml,True,Authentic Indian Masala Chilli Sauce,Masala Chilli Sauce,False,25.0,50.0,False,,0.0,False,0.18,0.26,False,6.0,6.0,True,55000598125.0,2,July '22
72ml,,False,Ruby Cacao Ice Cream Bars,Barre de crème glacée Premium Cacao Ruby,False,220.0,,False,8.0,,False,0.03,,False,17.0,,False,55000600040.0,0,July '22
18g,18g,True,Mocha Coffee Mix,"GOLD Mocha, Instant Coffee Sachets",False,70.0,70.0,True,15.0,1.5,False,0.06,0.06,True,10.0,10.0,True,55000697286.0,4,July '22
125ml,125ml,True,Frozen Dessert Sandwiches,Oreo Sandwiches,False,250.0,240.0,False,2.5,3.0,False,0.23,0.27,False,22.0,21.0,False,55000753128.0,1,July '22
10g,15g,False,Coconut Milk Powder,"Coconut Milk, Powdered",False,70.0,100.0,False,5.0,8.0,False,0.011,0.01,False,1.0,1.0,True,55270851241.0,1,July '22
15g,28g,False,Pure Creamed Coconut,Pure Creamed Coconut,True,110.0,190.0,False,10.0,17.0,False,0.002,0.01,False,1.0,0.0,False,55270876046.0,1,July '22
15ml,15ml,True,Sweetened Condensed Whitener,Sweetened Condensed Whitener,True,50.0,50.0,True,1.0,1.0,True,0.015,0.015,True,8.0,8.0,True,55270958285.0,6,July '22
45g,43g,False,Whole Grain Quinoa,Whole Grain Quinoa,True,210.0,160.0,False,0.0,0.3,False,0.011,0.002,False,0.0,0.0,True,55270958766.0,2,July '22
30ml,30ml,True,Fat Free Sour Cream,"Sour Cream, Fat Free 0%",False,20.0,20.0,True,0.0,0.0,True,0.04,0.04,True,2.0,2.0,True,55300142042.0,5,July '22
14g,14g,True,Organic Coconut Oil,Coconut Oil,False,120.0,120.0,True,13.0,12.0,False,0.0,0.0,True,,0.0,False,55358350024.0,3,July '22
28g,28g,True,Feta Cheese,Sheep's Feta Cheese,False,80.0,80.0,True,4.0,4.0,True,0.27,0.27,True,0.0,0.0,True,55498027114.0,5,July '22
34g,34g,True,Original Pancake & Waffle Mix,"Baking Mix, Original Pancake & Waffle",False,110.0,110.0,True,0.1,0.1,True,0.43,0.43,True,4.0,4.0,True,55577104002.0,5,July '22
34g,34g,True,Buttermilk Pancake & Waffle Mix,"Baking Mix, Buttermilk Pancake & Waffle",False,110.0,110.0,True,0.1,0.1,True,0.43,0.43,True,3.0,3.0,True,55577104248.0,5,July '22
38g,38g,True,Complete Buttermilk Pancake & Waffle Mix,"Baking Mix, Complete Buttermilk Pancake & Waffle",False,130.0,130.0,True,0.1,0.1,True,0.44,0.44,True,4.0,4.0,True,55577104293.0,5,July '22
45g,45g,True,Oatmeal Crunchy Oat Cereal,"Squares Cereal, Original",False,170.0,170.0,True,0.4,0.4,True,0.17,0.17,True,7.0,7.0,True,55577105665.0,5,July '22
45ml,45ml,True,Lite Syrup,Aunt Jemima Lite Syrup,False,80.0,80.0,True,,0.0,False,0.015,0.015,True,19.0,19.0,True,55577105948.0,4,July '22
45ml,45ml,True,Original Syrup,"Syrup, Original",False,160.0,160.0,True,,0.0,False,0.02,0.02,True,24.0,24.0,True,55577105979.0,4,July '22
31g,31g,True,Caramel Nut Granola Bars,Dipps Caramel Nut 5 Granola Bars,False,140.0,140.0,True,2.5,2.5,True,0.06,0.06,True,13.0,13.0,True,55577109700.0,5,July '22
30g,30g,True,Rainbow Chip Granola Bars,Dipps Rainbow Chip 5 Granola Bars,False,130.0,130.0,True,1.5,1.5,True,0.07,0.07,True,10.0,10.0,True,55577109724.0,5,July '22
29g,29g,True,Apples & Cinnamon Lightly Sweetened Instant Oatmeal,Instant Oatmeal Lightly Sweetened Apples & Cinnamon 8 Instant Oatmeal Packets,False,110.0,110.0,True,0.3,0.3,True,0.13,0.13,True,4.0,4.0,True,55577113080.0,5,July '22
710ml,710ml,True,Blitz Arctique Sports Drink,Frost Artic Blitz,False,170.0,170.0,True,,0.0,False,0.33,0.33,True,41.0,41.0,True,55577160299.0,4,July '22
710ml,710ml,True,Lemon-Lime Sports Drink,Lemon Lime Sports Drink,False,180.0,180.0,True,,0.0,False,0.3,0.3,True,42.0,42.0,True,55577421017.0,4,July '22
710ml,710ML,False,Grape Flavoured Sports Drink,G2 Grape Sports Drink,False,60.0,60.0,True,,0.0,False,0.33,0.33,True,14.0,14.0,True,55577425114.0,3,July '22
28g,,False,Birthday Cake Cookies,Birthday Cake Cookies,True,140.0,,False,4.0,,False,0.085,,False,9.0,,False,55653116806.0,1,July '22
28g,30g,False,Sea Salted Caramel Cookies,"Cookie Chips, Sea Salted Caramel",False,140.0,150.0,False,3.5,4.0,False,0.15,0.16,False,9.0,9.0,True,55653117209.0,1,July '22
41g,,False,Sweet & Sour Cherries Candies,Cherry Candy Canada,False,140.0,,False,,,False,,,False,27.0,,False,55653443902.0,0,July '22
20g,,False,Ketchup Flavoured Cracker Chips,"Veggie Crisps, Ketchup",False,70.0,,False,0.2,,False,0.16,,False,2.0,,False,55653646808.0,0,July '22
30g,,False,Nacho Cheese Baked Snack Crackers,"Boldn Baked Snack Crackers, Nacho Cheese Mild",False,140.0,,False,0.5,,False,0.22,,False,1.0,,False,55653659402.0,0,July '22
30g,,False,Sweet Chili Baked Snack Crackers,"Bold n Baked Snack Crackers, Sweet Chili Medium",False,140.0,,False,0.4,,False,0.21,,False,2.0,,False,55653659501.0,0,July '22
30g,,False,Smoky BBQ Baked Snack Crackers,"Boldn Baked Snack Crackers ,Smoky BBQ Mild",False,140.0,,False,0.4,,False,0.09,,False,2.0,,False,55653659600.0,0,July '22
22g,22g,True,Original Bite-Size Crackers,Bites Bite-Size Crackers Original,False,100.0,100.0,True,2.0,2.0,True,0.14,0.14,True,1.0,1.0,True,55653682806.0,5,July '22
18g,18g,True,Original Crackers with Flax,Gluten Free Crackers with Flax,False,90.0,90.0,True,2.0,2.0,True,0.08,0.08,True,1.0,1.0,True,55653688006.0,5,July '22
3g,3g,True,Egg Replacer,Egg Replacer,True,10.0,10.0,True,0.0,0.0,True,0.015,0.015,True,0.0,0.0,True,55685010028.0,6,July '22
85g,85g,True,Lightly Spiced Coated Fried Potatoes,Super Spirals,False,150.0,150.0,True,0.5,0.5,True,0.33,0.33,True,0.0,0.0,True,55773000658.0,5,July '22
85g,85g,True,SuperCrisps Straight Cut Coated Fried Potatoes,Super Crisp Fries,False,150.0,150.0,True,0.5,0.5,True,0.54,0.54,True,1.0,1.0,True,55773003970.0,5,July '22
2g,,False,Grain Beverage with Chicory,"Grain Beverage with Chicory - Original blend, 150gr",False,5.0,,False,,,False,,,False,1.0,,False,55789039505.0,0,July '22
60ml,30g,False,Kalamata Pesto,Kalamata Pesto,True,90.0,90.0,True,0.3,0.3,True,0.41,0.42,False,0.0,0.0,True,55823019197.0,4,July '22
60ml,30g,False,Sundried Tomato Tapenade,Sundried Tomatoes,False,360.0,180.0,False,3.0,2.5,False,0.41,0.13,False,9.0,6.0,False,55823019234.0,0,July '22
18g,18g,True,Jalapeño & Red Pepper Stuffed Olives,Jalapeno & Red Pepper Stuffed Olives,False,20.0,25.0,False,0.3,0.3,True,0.2,0.3,False,0.0,0.0,True,55823031151.0,3,July '22
5ml,,False,Honey Dijon Prepared Mustard,Honey Dijon Mustard,False,10.0,,False,,,False,0.06,,False,1.0,,False,56200810444.0,0,July '22
85g,85G,False,Classic Oven Chips,Classic Oven Chips,True,140.0,140.0,True,0.0,0.0,True,0.39,0.39,True,0.0,0.0,True,56210254009.0,5,July '22
85g,85g,True,Crispy Straight Cut Spicy Cracked Pepper Fries,Cavendish Farms Flavourcrisp Crispy Spicy Cracked Pepper Straight Cut (750G),False,160.0,160.0,True,0.5,0.5,True,0.39,0.39,True,0.0,0.0,True,56210254306.0,5,July '22
