serving_size_raw_mintel,serving_size_raw_loblaws,serving_size_raw_exact_match,name_mintel,name_loblaws,name_exact_match,calories_mintel,calories_loblaws,calories_exact_match,saturatedfat_mintel,saturatedfat_loblaws,saturatedfat_exact_match,sodium_mintel,sodium_loblaws,sodium_exact_match,sugar_mintel,sugar_loblaws,sugar_exact_match,upc_code,total_match_count,date
93ml,,False,Strawberry Drinkable Yogurt,Organic Kids Drink Strawberry,False,45.0,,False,0.5,,False,0.035,,False,4.0,,False,68200162508.0,0,July '22
93ml,,False,Original Strawberry Kefir Probiotic Drinkable Yogourt,Drinkable Kefir Strawberry,False,60.0,,False,1.0,,False,0.035,,False,5.0,,False,68200311814.0,0,July '22
110g,,False,Strawberry Icelandic Skyr Thick Yogurt,"Skyr Strawberry, 2% M.F.",False,100.0,,False,1.5,,False,0.03,,False,7.0,,False,68200325200.0,0,July '22
110g,,False,Vanilla Icelandic Skyr Thick Yogurt,"Skyr Vanilla, 2% M.F.",False,100.0,,False,1.5,,False,0.03,,False,6.0,,False,68200325217.0,0,July '22
110g,,False,Coconut Icelandic Skyr Thick Yogurt,"Skyr Coconut ,2% M.F.",False,110.0,,False,3.0,,False,0.03,,False,7.0,,False,68200325224.0,0,July '22
175g,,False,Plain Kefir Probiotic Balkan Yogurt,Original Kefir Probiotic Yogourt Plain,False,105.0,,False,3.0,,False,0.075,,False,7.0,,False,68200325408.0,0,July '22
175g,,False,Vanilla Kefir Probiotic Balkan Yogurt,Original Kefir Probiotic Yogourt Vanilla,False,160.0,,False,3.0,,False,0.075,,False,18.0,,False,68200325415.0,0,July '22
175g,,False,Kefir Probiotic Balkan Yogurt with Strawberry on the Bottom,Original Kefir Probiotic Yogourt Fruit on the Bottom Strawberry,False,150.0,,False,3.0,,False,0.075,,False,19.0,,False,68200325422.0,0,July '22
20g,,False,Monterey Jack Natural Cheese Slices,Natural Monterrey Jack Cheese Slices,False,70.0,,False,3.5,,False,0.14,,False,0.0,,False,68200811536.0,0,July '22
20g,,False,Old Cheddar Natural Cheese Slices,Bd Nat Cheddar White Old Slc,False,80.0,,False,4.0,,False,0.14,,False,0.0,,False,68200811543.0,0,July '22
20g,,False,Medium Cheddar Natural Cheese Slices,Natural Cheddar Cheese Slices Medium,False,80.0,,False,4.0,,False,0.135,,False,0.0,,False,68200811550.0,0,July '22
20g,20g,True,Gouda Natural Cheese Slices,"Natural Cheese Slices, Gouda",False,80.0,80.0,True,4.0,4.0,True,0.14,0.14,True,0.0,0.0,True,68200811666.0,5,July '22
20g,,False,Marble Cheddar Natural Cheese Slices,"Natural Cheese Slices Marble Cheddar, 12 Slices ,32% M.F.",False,80.0,,False,4.0,,False,0.135,,False,0.0,,False,68200815565.0,0,July '22
30g,30g,True,Marinated Fresh Mozzarella,"Fresh Mozzarella, Marinated",False,140.0,70.0,False,3.0,3.0,True,0.1,0.11,False,0.0,0.0,True,68200864150.0,3,July '22
30g,30g,True,Pizza Mozzarella Cheese,Galbani Pizza Mozzarella,False,90.0,90.0,True,4.0,4.0,True,0.24,0.24,True,0.0,0.0,True,68200864204.0,5,July '22
30g,,False,Old Cheddar Fort Cubes,BlaDiamond Cubes Wte Old,False,120.0,,False,6.0,,False,0.22,,False,0.0,,False,68200885131.0,0,July '22
21g,,False,Lactose Free Pizza Mozzarella Cheese,Fromage Ficello au mozzarella sans lactose,False,60.0,,False,2.0,,False,0.15,,False,0.0,,False,68200945347.0,0,July '22
15ml,15ml,True,Avocado Oil Mayonnaise Type Dressing,Avocado Lime Dressing,False,60.0,60.0,True,0.5,0.5,True,0.11,0.11,True,0.0,0.0,True,68400000525.0,5,July '22
47g,47g,True,Spinach Florentine with Penne Pasta,Selects Spinach Gluten Free Pasta,False,180.0,180.0,True,1.5,1.5,True,0.44,0.44,True,1.0,1.0,True,68400000600.0,5,July '22
1g,,False,Garam Masala Seasoning Blend,Knorr Garam Masala Seasng,False,0.0,,False,,,False,,,False,,,False,68400001089.0,0,July '22
1g,,False,Berbere Seasoning Blend,Mélange d'assaisonnement Berbère,False,0.0,,False,,,False,,,False,,,False,68400001102.0,0,July '22
1g,,False,Za'atar Seasoning Blend,Seasoning Blend Zaatar,False,0.0,,False,,,False,0.005,,False,,,False,68400001126.0,0,July '22
1g,,False,Shichimi Togarashi Seasoning Blend,Seasoning Blend Shichimi Togarashi,False,0.0,,False,,,False,,,False,,,False,68400001140.0,0,July '22
30ml,30ml,True,Tartar Sauce,Tartar Sauce,True,80.0,80.0,True,1.0,1.0,True,0.3,0.3,True,0.0,0.0,True,68400001317.0,6,July '22
15ml,,False,Sesame Ginger Mayonnaise Style Sauce,Sesame Ginger Sauce,False,35.0,,False,0.5,,False,0.095,,False,1.0,,False,68400001706.0,0,July '22
15ml,15ml,True,Mayonnaise,Organic Mayo,False,100.0,100.0,True,1.5,1.5,True,0.09,0.09,True,,0.0,False,68400657026.0,4,July '22
15ml,15ml,True,Half the Fat Mayonnaise Type Dressing,Mayonnaise Light 1/2 Fat,False,40.0,40.0,True,0.3,0.3,True,0.115,0.115,True,0.0,0.0,True,68400662709.0,5,July '22
10ml,10ml,True,3 Oil Blend,Olive Plus,False,80.0,120.0,False,1.0,1.5,False,,0.0,False,,0.0,False,68400694120.0,1,July '22
40g,40g,True,Dark Chocolate with Berry Medley Crunchy Clusters,Dark Chocolate Crunchy Clusters,False,190.0,190.0,True,7.0,7.0,True,0.09,0.09,True,23.0,23.0,True,68437384162.0,5,July '22
40g,40g,True,Pomegranate Flavoured Dark Chocolate,Dark Chocolate Pomegranate,False,170.0,170.0,True,4.5,4.5,True,0.06,0.06,True,23.0,24.0,False,68437389402.0,4,July '22
40g,40g,True,Açai & Blueberry Flavoured Dark Chocolate,Dark Chocolate  Acai & Blueberry,False,170.0,170.0,True,4.5,5.0,False,0.05,0.05,True,23.0,23.0,True,68437389778.0,4,July '22
75g,43g,False,12 Grain 100% Whole Grain Bread,Whole Grains Bread 12 Grain,False,190.0,120.0,False,0.5,0.4,False,0.27,0.15,False,3.0,3.0,True,68721722342.0,1,July '22
50g,50g,True,Organic Twist of Lime Tortilla Chips,"Tortilla Chips, Thin & Crispy, Twist of Lime",False,250.0,250.0,True,1.0,1.0,True,0.135,0.135,True,0.0,0.0,True,68826166102.0,5,July '22
50g,50g,True,Organic Sweet & Spicy Ranch Tortilla Chips,Organic Vegan Sweet & Spicy Tortilla Chips,False,240.0,240.0,True,1.0,1.0,True,0.21,0.24,False,1.0,1.0,True,68826166188.0,4,July '22
50g,50g,True,Red Corn Tortilla Chips,Red Corn Tortilla Chips,True,250.0,250.0,True,1.0,1.0,True,0.08,0.08,True,1.0,1.0,True,68826176019.0,6,July '22
50g,,False,Organic Korean BBQ Tortilla Chips,Thin and Crispy Korean BBQ Chips,False,240.0,,False,1.0,,False,0.21,,False,1.0,,False,68826206112.0,0,July '22
50g,,False,Grain Free Sea Salt Tortilla Chips,Qupa Grain Free Salted Chips,False,240.0,,False,1.0,,False,0.135,,False,2.0,,False,68826212564.0,0,July '22
355ml,per355mL,False,Raspberry Iced Tea,Brisk Raspberry Iced Tea,False,80.0,80.0,True,,0.0,False,0.08,0.08,True,19.0,19.0,True,69000008188.0,3,July '22
473ml,,False,Grapefruit Sparkling Water Beverage,Sparkling Water Grapefruit,False,0.0,,False,,,False,0.0,,False,0.0,,False,69000158302.0,0,July '22
405ml,,False,Mocha Almond Beverage Coffee Drink,Almond Mocha Frappuccino,False,170.0,,False,0.5,,False,0.12,,False,25.0,,False,69000158395.0,0,July '22
100g,100g,True,3 Cheese Flavour Pizza Snacks,"Pizza Pops, Three Cheese",False,260.0,260.0,True,3.0,3.0,True,0.53,0.51,False,6.0,4.0,False,69052204699.0,3,July '22
100g,100g,True,Pepperoni Pizza Snacks,"Pizza Pops, Pepperoni",False,260.0,260.0,True,2.5,2.5,True,0.57,0.55,False,6.0,3.0,False,69052265850.0,3,July '22
68g,1.0pogo,False,Maple Flavoured Sausage in Biscuit Batter,Sausage Maple,False,190.0,190.0,True,3.0,3.0,True,0.48,0.48,True,4.0,4.0,True,69192000502.0,4,July '22
30ml,30ml,True,Greek Vinaigrette,Orphée Vinaigrette Greek,False,90.0,100.0,False,1.0,1.5,False,0.22,0.25,False,0.0,0.0,True,69593121400.0,2,July '22
30g,30g,True,Roasted Red Peppers,"Red Peppers, Roasted",False,10.0,15.0,False,0.0,0.0,True,0.13,0.085,False,1.0,1.0,True,69694010122.0,3,July '22
43g,43g,True,Light Ranch Veggie Dip Singles,"Snack Pack, Lite Ranch",False,60.0,100.0,False,2.5,1.5,False,0.29,0.35000000000000003,False,3.0,3.0,True,70200540620.0,2,July '22
57g,57g,True,Old Fashioned Caramel Dip,"Fruit Snack Pack, Caramel Dip",False,210.0,210.0,True,3.5,3.5,True,0.1,0.1,True,25.0,25.0,True,70200588172.0,5,July '22
39g,,False,Organic Milk Chocolate with 37% Cocoa,GBLK ORGANIC MILK CHOCOLATE,False,220.0,,False,8.0,,False,0.035,,False,18.0,,False,70221011109.0,0,July '22
30g,30g,True,Cinnamon Cereal,Barbara's Cinnamon Puffins Cereal,False,90.0,90.0,True,0.1,0.1,True,0.15,0.15,True,5.0,6.0,False,70617204610.0,4,July '22
,2.0g,False,Lemon Zinger Herbal Tea,Lemon Zinger Herbal Tea,True,,0.0,False,,0.0,False,,0.0,False,,0.0,False,70734053177.0,1,July '22
,,False,Ginger Turmeric Herbal Tea,Organic Ginger & Turmeric Herbal Tea,False,,,False,,,False,,,False,,,False,70734538179.0,0,July '22
,,False,Chamomile Lavender Herbal Tea,Organic Chamomile & Lavender Herbal Tea,False,,,False,,,False,,,False,,,False,70734538186.0,0,July '22
,,False,Organic Pure Green Tea,Organic Pure Green Tea,True,,,False,,,False,,,False,,,False,70734538193.0,1,July '22
,,False,Mint Guayusa Herbal Tea,Organic Herbal Tea Mint Guayusa,False,,,False,,,False,,,False,,,False,70734543272.0,0,July '22
473ml,,False,Gingerade Energy Drink,Monster Mule Ginderade Brew,False,210.0,,False,,,False,0.065,,False,52.0,,False,70847033066.0,0,July '22
310ml,,False,Energy Drink,Monster Energy,False,140.0,,False,,,False,0.25,,False,36.0,,False,70847033424.0,0,July '22
310ml,,False,Zero Ultra Energy Drink,Monster Zero Ultra,False,0.0,,False,,,False,0.24,,False,0.0,,False,70847033448.0,0,July '22
458ml,,False,Green Tea Energy Drink,Dragon Tea Energy Drink Green Tea,False,35.0,,False,,,False,0.005,,False,8.0,,False,70847033783.0,0,July '22
458ml,,False,Yerba Mate Energy Drink,MONSTER YERBA MATE CAN,False,35.0,,False,,,False,0.0,,False,7.0,,False,70847034209.0,0,July '22
250g,,False,Backyard BBQ Pork Chili with Beans,Backyard BBQ Pork Chili with Beans,True,270.0,,False,2.5,,False,0.65,,False,12.0,,False,71106861802.0,1,July '22
100g,100g,True,BBQ Ranch Salad Kit,Chop Chop BBQ Ranch Salad Kit,False,140.0,150.0,False,2.0,2.5,False,0.33,0.31,False,5.0,5.0,True,71430000397.0,2,July '22
196g,,False,All Dressed Pizza,Singles All Dressed Pizza,False,470.0,,False,6.0,,False,0.92,,False,4.0,,False,71921004149.0,0,July '22
180g,,False,Three Cheese Pizza,Singles 3 Cheese Pizza,False,430.0,,False,6.0,,False,0.75,,False,4.0,,False,71921004156.0,0,July '22
221g,,False,4 Cheese Cheese Stuffed Crust Pizza,Stuffed Crust 4 Cheese Pizza,False,520.0,,False,13.0,,False,1.14,,False,5.0,,False,71921648305.0,0,July '22
176g,,False,Canadian Cheese Stuffed Crust Pizza,Stuffed Crust Canadian Pizza,False,410.0,,False,9.0,,False,0.98,,False,4.0,,False,71921648312.0,0,July '22
50g,50g,True,Classic Caramel Popcorn,Ready to Eat Caramel Popcorn,False,230.0,230.0,True,4.5,4.5,True,0.25,0.24,False,25.0,22.0,False,72799328504.0,3,July '22
15ml,15ml,True,Original Ketchup Style Sauce with Sriracha Hot Chili Sauce,Sriracha Hot Chili Sauce Ketchup,False,20.0,20.0,True,0.0,0.0,True,0.16,0.16,True,3.0,3.0,True,72940112051.0,5,July '22
60ml,dry,False,Heirlooms Brown Short Grain Rice,Brown Short Grain Rice,False,150.0,150.0,True,0.3,0.3,True,0.004,0.004,True,0.0,0.0,True,73416198609.0,4,July '22
60ml,46g,False,Heirlooms Organic Brown Long Grain Rice,Organic Brown Long Grain Rice,False,150.0,170.0,False,0.4,0.3,False,0.002,0.003,False,0.0,0.0,True,73416199644.0,1,July '22
330ml,,False,Sparkling Lemon & Guava Beverage,Sparkling Fruit Beverage,False,60.0,,False,,,False,0.005,,False,12.0,,False,74780334013.0,0,July '22
375ml,per250ml,False,Carbonated Natural Spring Water with Natural Lime and Lemon Flavours,"Sparkling Water, Lime (Case)",False,0.0,0.0,True,,0.0,False,0.0,0.0,True,,0.0,False,74780447355.0,2,July '22
375ml,per250ml,False,Carbonated Natural Spring Water with Natural Pink Grapefruit Flavour,"Sparkling Water, Pink Grapefruit (Case)",False,0.0,0.0,True,,0.0,False,0.0,0.0,True,,0.0,False,74780447386.0,2,July '22
40g,40G,False,Soft Licorice,Soft Licorice,True,120.0,0.0,False,,0.0,False,0.1,0.1,True,20.0,20.0,True,75172071646.0,3,July '22
40g,40g,True,Raspberry Licorice,Raspberry Licorice,True,130.0,0.0,False,,0.0,False,0.06,0.06,True,20.0,20.0,True,75172071653.0,4,July '22
32g,32g,True,Soft Licorice Bar,All Natural Soft Licorice Bar,False,100.0,100.0,True,0.0,0.0,True,0.08,0.08,True,16.0,16.0,True,75172079246.0,5,July '22
21g,per30g/per2slices,False,Original Firm Ripened Cheese,Firm Ripened Sliced Cheese,False,70.0,110.0,False,3.5,5.0,False,0.06,0.14,False,0.0,0.0,True,75501016560.0,1,July '22
125ml,125ml,True,Vodka Pasta Sauce,"Pasta Sauce, Vodka",False,100.0,130.0,False,3.5,5.0,False,0.32,0.44,False,3.0,0.0,False,76050370233.0,1,July '22
125ml,125ml,True,Sicilian Gravy Pasta Sauce,"Pasta Sauce, Sicilian Gravy",False,90.0,110.0,False,1.0,0.5,False,0.3,0.3,True,4.0,0.0,False,76050370257.0,2,July '22
85g,about1/5ofthepackage,False,Spaghettini Pasta,Spaghettini,False,300.0,310.0,False,0.4,0.4,True,0.004,0.004,True,2.0,2.0,True,76808020038.0,3,July '22
85g,85g,True,Ditali Pasta,Ditali,False,300.0,310.0,False,0.4,0.4,True,0.004,0.004,True,2.0,2.0,True,76808020458.0,4,July '22
81g,85g,False,Tagliatelle Egg Pasta,Tagliatelle with Egg,False,300.0,320.0,False,1.0,1.0,True,0.025,0.025,True,3.0,1.0,False,76808201291.0,2,July '22
100g,100g,True,Mild Italian Style Seasoned Pork with Basil and Fennel,Ground Mild Italian Sausage,False,330.0,330.0,True,10.0,10.0,True,0.64,0.64,True,2.0,2.0,True,77782001006.0,5,July '22
100g,100g,True,Hot Italian Style Seasoned Pork with Red Pepper and Fennel,Ground Hot Italian Sausage,False,330.0,330.0,True,10.0,10.0,True,0.68,0.68,True,2.0,2.0,True,77782001013.0,5,July '22
63g,,False,Maple Flavoured Breakfast Sausages,Fully Cooked Maple Breakfast Sausages,False,210.0,,False,6.0,,False,0.47,,False,2.0,,False,77782679038.0,0,July '22
21g,21g,True,Sesame Rye Crispbread,"Wholegrain Rye Crispbread, Sesame Rye",False,80.0,80.0,True,0.2,0.2,True,0.055,0.055,True,1.0,1.0,True,78935005186.0,5,July '22
21g,22g,False,Multi-Grain Rye Crispbread,"Wholegrain Rye Crispbread, Multi-Grain",False,70.0,90.0,False,0.2,0.2,True,0.05,0.075,False,1.0,1.0,True,78935005322.0,2,July '22
20g,20g,True,Red Quinoa & Sesame Rye Crispbread,Rye Crispbread Red Quinoa & Sesame,False,70.0,70.0,True,0.2,0.2,True,0.09,0.09,True,0.0,0.0,True,78935714378.0,5,July '22
71g,71g,True,Kale Veggie Burgers,Purely Sensible Foods Veggie Burgers Kale 4 Vegan Burgers,False,120.0,120.0,True,0.4,0.4,True,0.21,0.21,True,1.0,1.0,True,80868540412.0,5,July '22
85g,85g,True,Spinach Littles,Purely Sensible Foods Kids Spinach Littles,False,140.0,140.0,True,0.7,0.5,False,0.26,0.26,True,0.0,0.0,True,80868542454.0,4,July '22
85g,40g,False,Sour Cream & Onion Potato Chips,"Potato Chips, Sour Cream & Onion",False,380.0,170.0,False,1.5,0.5,False,0.56,0.27,False,3.0,3.0,True,82666712008.0,1,July '22
85g,40g,False,Sea Salt Potato Chips,"Potato Chips, Original",False,380.0,170.0,False,1.5,0.5,False,0.49,0.27,False,1.0,1.0,True,82666712107.0,1,July '22
85g,40g,False,Sea Salt & Vinegar Potato Chips,"Potato Chips, Sea Salt & Vinegar",False,370.0,170.0,False,1.0,0.5,False,0.57,0.19,False,1.0,1.0,True,82666712404.0,1,July '22
250ml,250ml,True,Creamy Broccoli Soup,Organic Broccoli Soup,False,70.0,90.0,False,0.2,0.0,False,0.51,0.53,False,4.0,4.0,True,84253241441.0,2,July '22
250ml,250ml,True,Creamy Butternut Squash Soup,"Organic Soup, Creamy Butternut Squash",False,110.0,120.0,False,0.2,0.3,False,0.48,0.45,False,4.0,7.0,False,84253242417.0,1,July '22
250ml,250ml,True,Organic Creamy Tomato Soup,"Organic Soup, Creamy Tomato",False,80.0,90.0,False,0.0,0.0,True,0.6,0.59,False,9.0,10.0,False,84253242479.0,2,July '22
250ml,250ml,True,Chicken Broth,Organic Broth - Chicken,False,10.0,10.0,True,0.0,0.0,True,0.56,0.56,True,1.0,1.0,True,84253242493.0,5,July '22
250ml,250ml,True,Organic Reduced Sodium Creamy Garden Tomato Soup,"Organic Low Sodium Soup, Creamy Tomato",False,80.0,90.0,False,0.0,0.0,True,0.3,0.29,False,9.0,10.0,False,84253246514.0,2,July '22
250ml,250ml,True,Chicken Bone Broth,Chicken Bone Broth,True,40.0,40.0,True,0.0,0.0,True,0.31,0.3,False,0.0,0.0,True,84253773560.0,5,July '22
22g,22g,True,Ginger Instant Chai Tea Latte,"Chai Tea Latte Mix, Ginger",False,80.0,100.0,False,0.5,2.0,False,0.025,0.055,False,16.0,13.0,False,84643200133.0,1,July '22
3g,3.0g,False,Orange Pekoe Black Tea,Tea India,False,0.0,0.0,True,,0.0,False,0.0,0.0,True,0.0,0.0,True,84643940053.0,3,July '22
